Well,Temp,Fluo,df.dT,baseline,Sample,Censor,Tissue,Extractions
A1,80.1,1,0.0536147968860187,NA,A1,NA,Dalea purpurea,1
A1,80.1099099099099,0.999472568390255,0.0535696083573772,NA,A1,NA,Dalea purpurea,1
A1,80.1198198198198,0.998945204389059,0.0535244198287356,NA,A1,NA,Dalea purpurea,1
A1,80.1297297297297,0.998417920893738,0.053479231300094,NA,A1,NA,Dalea purpurea,1
A1,80.1396396396396,0.997890730801623,0.0534340427714523,NA,A1,NA,Dalea purpurea,1
A1,80.1495495495495,0.997363647010043,0.0533888542428108,NA,A1,NA,Dalea purpurea,1
A1,80.1594594594595,0.996836682416326,0.0533436657141692,NA,A1,NA,Dalea purpurea,1
A1,80.1693693693694,0.996309849917802,0.0532984771855276,NA,A1,NA,Dalea purpurea,1
A1,80.1792792792793,0.995783162411799,0.053253288656886,NA,A1,NA,Dalea purpurea,1
A1,80.1891891891892,0.995256632795647,0.0532081001282445,NA,A1,NA,Dalea purpurea,1
A1,80.1990990990991,0.994730273966674,0.0531629115996029,NA,A1,NA,Dalea purpurea,1
A1,80.209009009009,0.994204083462803,0.0531177230709612,NA,A1,NA,Dalea purpurea,1
A1,80.2189189189189,0.993677978016127,0.0530725345423196,NA,A1,NA,Dalea purpurea,1
A1,80.2288288288288,0.993151847879123,0.0530273460136781,NA,A1,NA,Dalea purpurea,1
A1,80.2387387387387,0.992625583288909,0.0529821574850365,NA,A1,NA,Dalea purpurea,1
A1,80.2486486486486,0.992099074482602,0.0529369689563949,NA,A1,NA,Dalea purpurea,1
A1,80.2585585585585,0.991572211697319,0.0528917804277533,NA,A1,NA,Dalea purpurea,1
A1,80.2684684684685,0.991044885170178,0.0528465918991117,NA,A1,NA,Dalea purpurea,1
A1,80.2783783783784,0.990516985138298,0.0528014033704701,NA,A1,NA,Dalea purpurea,1
A1,80.2882882882883,0.989988401838794,0.0527562148418285,NA,A1,NA,Dalea purpurea,1
A1,80.2981981981982,0.989459025508786,0.0527110263131869,NA,A1,NA,Dalea purpurea,1
A1,80.3081081081081,0.988928802370424,0.0526658377845454,NA,A1,NA,Dalea purpurea,1
A1,80.318018018018,0.988398069081941,0.0526206492559038,NA,A1,NA,Dalea purpurea,1
A1,80.3279279279279,0.987867328567137,0.0525754607272622,NA,A1,NA,Dalea purpurea,1
A1,80.3378378378378,0.987337084364184,0.0525302721986206,NA,A1,NA,Dalea purpurea,1
A1,80.3477477477477,0.98680784001126,0.052485083669979,NA,A1,NA,Dalea purpurea,1
A1,80.3576576576577,0.986280099046536,0.0524476368612441,NA,A1,NA,Dalea purpurea,1
A1,80.3675675675676,0.985754365008188,0.0524052169267469,NA,A1,NA,Dalea purpurea,1
A1,80.3774774774775,0.98523114143439,0.0523587459807305,NA,A1,NA,Dalea purpurea,1
A1,80.3873873873874,0.984710931863316,0.0523091461374377,NA,A1,NA,Dalea purpurea,1
A1,80.3972972972973,0.98419423983314,0.0522573395111114,NA,A1,NA,Dalea purpurea,1
A1,80.4072072072072,0.983681489500802,0.0522042482159945,NA,A1,NA,Dalea purpurea,1
A1,80.4171171171171,0.98317235911871,0.05215079436633,NA,A1,NA,Dalea purpurea,1
A1,80.427027027027,0.982666118249945,0.0520979000763607,NA,A1,NA,Dalea purpurea,1
A1,80.4369369369369,0.982162032271469,0.0520464874603296,NA,A1,NA,Dalea purpurea,1
A1,80.4468468468468,0.981659366560244,0.0519974786324796,NA,A1,NA,Dalea purpurea,1
A1,80.4567567567567,0.981157386493233,0.0519516719292065,NA,A1,NA,Dalea purpurea,1
A1,80.4666666666667,0.980655357447396,0.0519088692474106,NA,A1,NA,Dalea purpurea,1
A1,80.4765765765766,0.980152544799695,0.0518685528379791,NA,A1,NA,Dalea purpurea,1
A1,80.4864864864865,0.979648213927093,0.0518302039489204,NA,A1,NA,Dalea purpurea,1
