Data File Name,2100 expert_DNA 7500_DE34903367_2015-04-21_12-39-18.xad
Data File Path,C:\Users\GEGC\Desktop
Date Created,"Tuesday, April 21, 2015 05:39:17"
Date Last Modified,"Tuesday, April 21, 2015 06:16:44"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,DNA 7500 Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,DNA 7500
Assay Version,2.3
 
Number of Samples Run,12
 
Sample Name,Sample 10
Number of Events,1481
 
Time,Value
20,0.3126984
20.05,0.3126984
20.1,0.3126984
20.15,0.3126984
20.2,0.3126984
20.25,0.3126984
20.3,0.3126984
20.35,0.3126984
20.4,0.3126984
20.45,0.3126984
20.5,0.3126984
20.55,0.3126984
20.6,0.3126984
20.65,0.3126984
20.7,0.3126984
20.75,0.3126984
20.8,0.3126984
20.85,0.3126984
20.9,0.3126984
20.95,0.3126984
21,0.3126984
21.05,0.3126984
21.1,0.3126984
21.15,0.3126984
21.2,0.3126984
21.25,0.3126984
21.3,0.3126984
21.35,0.3126984
21.4,0.3126984
21.45,0.3126984
21.5,0.3371167
21.55,0.3286407
21.6,0.3190527
21.65,0.3020473
21.7,0.2690178
21.75,0.2444346
21.8,0.2193327
21.85,0.2058124
21.9,0.2140075
21.95,0.1896087
22,0.1910924
22.05,0.2065102
22.1,0.226405
22.15,0.2433544
22.2,0.2554038
22.25,0.2709471
22.3,0.2936555
22.35,0.3094121
22.4,0.3181715
22.45,0.3166873
22.5,0.3055471
22.55,0.3002259
22.6,0.2820415
22.65,0.253894
22.7,0.2211051
22.75,0.2054812
22.8,0.2144784
22.85,0.2281691
22.9,0.2420644
22.95,0.2606235
23,0.2686203
23.05,0.2682717
23.1,0.2632476
23.15,0.2628095
23.2,0.2701893
23.25,0.2770167
23.3,0.2867417
23.35,0.310368
23.4,0.3143514
23.45,0.3291934
23.5,0.3400098
23.55,0.3139227
23.6,0.2634748
23.65,0.2228837
23.7,0.1924803
23.75,0.1694372
23.8,0.1563406
23.85,0.1745809
23.9,0.2051259
23.95,0.2256966
24,0.2436986
24.05,0.227035
24.1,0.198874
24.15,0.1810676
24.2,0.1916931
24.25,0.1923398
24.3,0.1915235
24.35,0.1956889
24.4,0.2095251
24.45,0.2113696
24.5,0.2252156
24.55,0.262444
24.6,0.3005365
24.65,0.3000466
24.7,0.2886629
24.75,0.2710117
24.8,0.1978909
24.85,0.1476183
24.9,0.1297688
24.95,0.1428578
25,0.1630298
25.05,0.1911943
25.1,0.2063737
25.15,0.208192
25.2,0.2155947
25.25,0.2425988
25.3,0.2600076
25.35,0.2679858
25.4,0.2833382
25.45,0.2496647
25.5,0.2132007
25.55,0.1748658
25.6,0.1216404
25.65,0.1020314
25.7,0.1102643
25.75,0.1355625
25.8,0.1608771
25.85,0.1776989
25.9,0.1775111
25.95,0.1694508
26,0.1665163
26.05,0.1729012
26.1,0.1573194
26.15,0.1400682
26.2,0.1436038
26.25,0.1289029
26.3,0.1285166
26.35,0.127666
26.4,0.1147402
26.45,0.1222295
26.5,0.1395434
26.55,0.1492538
26.6,0.1397074
26.65,0.1157931
26.7,0.1022455
26.75,0.1062974
26.8,0.1295598
26.85,0.1504591
26.9,0.1650068
26.95,0.1776579
27,0.1863082
27.05,0.1670355
27.1,0.141815
27.15,0.1212963
27.2,0.113174
27.25,0.1359461
27.3,0.1372982
27.35,0.134634
27.4,0.1353842
27.45,0.1498033
27.5,0.1498753
27.55,0.1373843
27.6,0.1217283
27.65,0.1267093
27.7,0.1306371
27.75,0.1385359
27.8,0.1441873
27.85,0.1332675
27.9,0.151253
27.95,0.1754797
28,0.1932196
28.05,0.1871257
28.1,0.1903495
28.15,0.1865755
28.2,0.1796322
28.25,0.1755678
28.3,0.1607609
28.35,0.1480691
28.4,0.1378559
28.45,0.1303218
28.5,0.1361505
28.55,0.1291072
28.6,0.1187728
28.65,0.1119893
28.7,8.428115E-02
28.75,7.829088E-02
28.8,0.0702581
28.85,4.571061E-02
28.9,1.764036E-02
28.95,0.0115377
29,2.001833E-03
29.05,-0.0177254
29.1,2.71264E-03
29.15,2.547689E-02
29.2,5.026701E-02
29.25,7.511402E-02
29.3,8.951523E-02
29.35,8.104912E-02
29.4,7.821457E-02
29.45,0.0851606
29.5,8.161507E-02
29.55,5.470636E-02
29.6,5.350536E-02
29.65,7.228162E-02
29.7,5.470267E-02
29.75,5.369631E-02
29.8,6.577966E-02
29.85,7.361127E-02
29.9,3.525498E-02
29.95,0.0369358
30,0.0364946
30.05,3.087288E-02
30.1,2.459445E-02
30.15,2.344424E-02
30.2,3.187345E-02
30.25,3.927686E-02
30.3,2.865756E-02
30.35,1.625485E-02
30.4,-1.459043E-02
30.45,-4.273254E-02
30.5,-4.138351E-02
30.55,-3.097733E-02
30.6,-3.057487E-02
30.65,-2.270765E-02
30.7,9.293017E-03
