Data File Name,2100 expert_DNA 7500_DE34903367_2015-04-21_12-39-18.xad
Data File Path,C:\Users\GEGC\Desktop
Date Created,"Tuesday, April 21, 2015 05:39:17"
Date Last Modified,"Tuesday, April 21, 2015 06:16:44"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,DNA 7500 Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,DNA 7500
Assay Version,2.3
 
Number of Samples Run,12
 
Sample Name,Sample 1
Number of Events,1481
 
Time,Value
20,2.376556E-02
20.05,2.376556E-02
20.1,2.376556E-02
20.15,2.376556E-02
20.2,2.376556E-02
20.25,2.376556E-02
20.3,2.376556E-02
20.35,2.376556E-02
20.4,2.376556E-02
20.45,2.376556E-02
20.5,2.376556E-02
20.55,2.376556E-02
20.6,2.376556E-02
20.65,2.376556E-02
20.7,2.376556E-02
20.75,2.376556E-02
20.8,2.376556E-02
20.85,2.376556E-02
20.9,2.376556E-02
20.95,2.376556E-02
21,2.376556E-02
21.05,2.376556E-02
21.1,2.376556E-02
21.15,2.376556E-02
21.2,2.376556E-02
21.25,2.376556E-02
21.3,2.376556E-02
21.35,2.376556E-02
21.4,2.376556E-02
21.45,2.376556E-02
21.5,2.376556E-02
21.55,2.376556E-02
21.6,2.376556E-02
21.65,2.376556E-02
21.7,2.376556E-02
21.75,2.376556E-02
21.8,2.556198E-02
21.85,1.906455E-03
21.9,3.111629E-02
21.95,6.208148E-02
22,8.889221E-02
22.05,9.015536E-02
22.1,4.591372E-02
22.15,-1.290055E-02
22.2,-3.682984E-02
22.25,-5.691022E-02
22.3,-6.269352E-02
22.35,-5.292986E-02
22.4,-3.293481E-02
22.45,-3.487412E-03
22.5,-1.476185E-02
22.55,-3.405614E-02
22.6,-1.911474E-02
22.65,8.161227E-03
22.7,9.656147E-03
22.75,2.392056E-02
22.8,4.798334E-02
22.85,1.982585E-02
22.9,-5.299528E-02
22.95,-0.1053699
23,-0.121888
23.05,-0.1181952
23.1,-0.1111504
23.15,-8.255965E-02
23.2,-2.358367E-02
23.25,8.645717E-03
23.3,-2.170773E-02
23.35,-6.461077E-02
23.4,-9.017929E-02
23.45,-0.1031427
23.5,-0.1063254
23.55,-7.779291E-02
23.6,-4.029428E-02
23.65,-3.009551E-02
23.7,-5.779092E-02
23.75,-0.106194
23.8,-0.1556042
23.85,-0.1948274
23.9,-0.2222168
23.95,-0.2307188
24,-0.2009208
24.05,-0.1783176
24.1,-0.1619041
24.15,-0.1503292
24.2,-0.1606153
24.25,-0.1872275
24.3,-0.1894571
24.35,-0.1728578
24.4,-0.1699144
24.45,-0.161761
24.5,-0.2076005
24.55,-0.2473683
24.6,-0.2238383
24.65,-0.1853777
24.7,-0.1222556
24.75,-3.719549E-02
24.8,7.477901E-03
24.85,4.22333E-03
24.9,-2.083709E-02
24.95,-6.300768E-02
25,-0.1001444
25.05,-0.104078
25.1,-0.1460109
25.15,-0.1611697
25.2,-0.1718397
25.25,-0.1967038
25.3,-0.2174581
25.35,-0.2278432
25.4,-0.2221995
25.45,-0.2267624
25.5,-0.2330637
25.55,-0.2236078
25.6,-0.2060768
25.65,-0.1912466
25.7,-0.1624889
25.75,-0.156596
25.8,-0.1845897
25.85,-0.2265846
25.9,-0.2575478
25.95,-0.1048617
26,5.306297E-02
26.05,9.667318E-02
26.1,0.1009453
26.15,8.379688E-03
26.2,-0.1187998
26.25,-0.2070237
26.3,-0.2378729
26.35,-0.1964283
26.4,-0.1106571
26.45,-0.1386386
26.5,-0.2097035
26.55,-0.2366992
26.6,-0.2912383
26.65,-0.2994214
26.7,-0.3234059
26.75,-0.332918
26.8,-0.3284739
26.85,-0.3240977
26.9,-0.3152888
26.95,-0.2956444
27,-0.273701
27.05,-0.2974768
27.1,-0.3323226
27.15,-0.3609707
27.2,-0.3604676
27.25,-0.3658467
27.3,-0.3693069
27.35,-0.3733279
27.4,-0.3795186
27.45,-0.3902487
27.5,-0.4305402
27.55,-0.4504524
27.6,-0.4298888
27.65,-0.4095775
27.7,-0.3884325
27.75,-0.3842345
27.8,-0.4278614
27.85,-0.482519
27.9,-0.5295569
27.95,-0.5545464
28,-0.5288095
28.05,-0.5035602
28.1,-0.4801802
28.15,-0.4611652
28.2,-0.4190063
28.25,-0.3351609
28.3,-0.2867873
28.35,-0.2592186
28.4,-0.2564771
28.45,-0.3170685
28.5,-0.4342385
28.55,-0.5243375
28.6,-0.5438865
28.65,-0.5425391
28.7,-0.5546418
28.75,-0.5863469
28.8,-0.6139725
28.85,-0.6526015
28.9,-0.6978884
28.95,-0.7185509
29,-0.6998316
29.05,-0.658377
29.1,-0.6018696
29.15,-0.5330663
29.2,-0.4978816
29.25,-0.5090061
29.3,-0.5125154
29.35,-0.5540878
29.4,-0.60077
29.45,-0.6390504
29.5,-0.6546882
29.55,-0.6319603
29.6,-0.5955451
