Data File Name,2100 expert_DNA 7500_DE34903367_2015-04-21_13-23-20.xad
Data File Path,C:\Users\GEGC\Desktop
Date Created,"Tuesday, April 21, 2015 06:23:20"
Date Last Modified,"Tuesday, April 21, 2015 06:56:25"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,DNA 7500 Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,DNA 7500
Assay Version,2.3
 
Number of Samples Run,12
 
Sample Name,15
Number of Events,1481
 
Time,Value
20,-3.730011E-02
20.05,-3.730011E-02
20.1,-3.730011E-02
20.15,-3.730011E-02
20.2,-3.730011E-02
20.25,-3.730011E-02
20.3,-3.730011E-02
20.35,-3.730011E-02
20.4,-3.730011E-02
20.45,-3.730011E-02
20.5,-3.730011E-02
20.55,-3.730011E-02
20.6,-3.730011E-02
20.65,-3.730011E-02
20.7,-3.730011E-02
20.75,-3.730011E-02
20.8,-3.730011E-02
20.85,-3.730011E-02
20.9,-3.730011E-02
20.95,-3.730011E-02
21,-3.730011E-02
21.05,-3.730011E-02
21.1,-3.730011E-02
21.15,-3.730011E-02
21.2,-3.730011E-02
21.25,-3.730011E-02
21.3,-3.730011E-02
21.35,-3.730011E-02
21.4,-3.730011E-02
21.45,-3.730011E-02
21.5,-3.730011E-02
21.55,-3.730011E-02
21.6,-3.730011E-02
21.65,-3.730011E-02
21.7,-3.730011E-02
21.75,-3.730011E-02
21.8,-3.730011E-02
21.85,-3.730011E-02
21.9,-3.730011E-02
21.95,-3.730011E-02
22,-3.730011E-02
22.05,-2.611443E-02
22.1,-3.878029E-02
22.15,-4.412368E-02
22.2,-3.868084E-02
22.25,-3.431701E-02
22.3,-4.549672E-02
22.35,-6.912453E-02
22.4,-0.095203
22.45,-0.1354951
22.5,-0.1646696
22.55,-0.1598469
22.6,-0.1291558
22.65,-8.932382E-02
22.7,-5.817304E-02
22.75,-0.0468156
22.8,-6.917304E-02
22.85,-6.290729E-02
22.9,-0.0601614
22.95,-7.454576E-02
23,-9.284756E-02
23.05,-0.0710731
23.1,-4.067787E-02
23.15,-5.846917E-02
23.2,-8.949637E-02
23.25,-0.1303978
23.3,-0.173395
23.35,-0.1841953
23.4,-0.2040181
23.45,-0.1874081
23.5,-0.1444746
23.55,-0.100883
23.6,-7.824474E-02
23.65,-0.0792924
23.7,-5.406119E-02
23.75,-8.871932E-02
23.8,-0.1079106
23.85,-0.1282943
23.9,-0.1616668
23.95,-0.1873128
24,-0.1927329
24.05,-0.1896057
24.1,-0.1789622
24.15,-0.1822209
24.2,-0.1956213
24.25,-0.1918682
24.3,-0.1763036
24.35,-0.1770305
24.4,-0.1599071
24.45,-0.1426276
24.5,-0.1371702
24.55,-0.1454442
24.6,-0.177129
24.65,-0.1594714
24.7,-0.1519926
24.75,-0.1591604
24.8,-0.1722634
24.85,-0.185717
24.9,-0.2239582
24.95,-0.251463
25,-0.2682017
25.05,-0.2656177
25.1,-0.251478
25.15,-0.2503494
25.2,-0.3036529
25.25,-0.2650581
25.3,-0.2378582
25.35,-0.2185245
25.4,-0.2096033
25.45,-0.2126752
25.5,-0.2195079
25.55,-0.2068609
25.6,-0.2036245
25.65,-0.214757
25.7,-0.2181884
25.75,-0.204982
25.8,-0.2047898
25.85,-0.2149917
25.9,-0.2229493
25.95,-0.2016306
26,-0.1746253
26.05,-0.1600642
26.1,-0.1469566
26.15,-0.1510807
26.2,-0.1690021
26.25,-0.2065291
26.3,-0.2468064
26.35,-0.2739146
26.4,-0.2828701
26.45,-0.2828127
26.5,-0.2583568
26.55,-0.2303232
26.6,-0.2331406
26.65,-0.2676641
26.7,-0.3017448
26.75,-0.3199972
26.8,-0.313505
26.85,-0.2913984
26.9,-0.2383453
26.95,-0.1775193
27,-0.152517
27.05,-0.1553771
27.1,-0.1359316
27.15,-0.1484219
27.2,-0.1709981
27.25,-0.1950781
27.3,-0.2255672
27.35,-0.2650599
27.4,-0.2911279
27.45,-0.3116665
27.5,-0.2976289
27.55,-0.2609452
27.6,-0.230492
27.65,-0.2145635
27.7,-0.1709365
27.75,-0.1987749
27.8,-0.2391246
27.85,-0.258569
27.9,-0.2433264
27.95,-0.1909346
28,-0.1337388
28.05,-0.1082209
28.1,-0.1048658
28.15,-0.1455631
28.2,-0.2312034
28.25,-0.3095711
28.3,-0.3256465
28.35,-0.3519862
28.4,-0.3333761
28.45,-0.2917678
28.5,-0.2596524
28.55,-0.2463192
28.6,-0.2264324
28.65,-0.2578026
28.7,-0.2610005
28.75,-0.2666746
