Data File Name,2100 expert_DNA 7500_DE34903367_2015-04-21_12-39-18.xad
Data File Path,C:\Users\GEGC\Desktop
Date Created,"Tuesday, April 21, 2015 05:39:17"
Date Last Modified,"Tuesday, April 21, 2015 06:16:44"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,DNA 7500 Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,DNA 7500
Assay Version,2.3
 
Number of Samples Run,12
 
Sample Name,Sample 11
Number of Events,1481
 
Time,Value
20,-0.1458282
20.05,-0.1458282
20.1,-0.1458282
20.15,-0.1458282
20.2,-0.1458282
20.25,-0.1458282
20.3,-0.1458282
20.35,-0.1458282
20.4,-0.1458282
20.45,-0.1458282
20.5,-0.1458282
20.55,-0.1458282
20.6,-0.1458282
20.65,-0.1458282
20.7,-0.1458282
20.75,-0.1458282
20.8,-0.1458282
20.85,-0.1458282
20.9,-0.1458282
20.95,-0.1458282
21,-0.1458282
21.05,-0.1458282
21.1,-0.1458282
21.15,-0.1458282
21.2,-0.1458282
21.25,-0.1458282
21.3,-0.1458282
21.35,-0.148132
21.4,-0.111142
21.45,3.879969E-03
21.5,0.1831212
21.55,0.2916885
21.6,0.3394144
21.65,0.3350581
21.7,0.2435941
21.75,0.1430038
21.8,3.615798E-02
21.85,-7.412001E-02
21.9,-0.1157389
21.95,-8.758142E-02
22,-3.505004E-02
22.05,-5.315665E-03
22.1,-6.319701E-02
22.15,-0.1044775
22.2,-0.1244823
22.25,-0.1186876
22.3,-0.1217909
22.35,-0.1295976
22.4,-0.1351188
22.45,-0.130461
22.5,-0.1142897
22.55,-0.1103551
22.6,-0.1104579
22.65,-0.1045204
22.7,-7.974446E-02
22.75,-5.653114E-02
22.8,-4.883821E-02
22.85,-7.362947E-02
22.9,-0.0706731
22.95,-6.984474E-02
23,-7.143209E-02
23.05,-7.475813E-02
23.1,-5.324949E-02
23.15,-4.363053E-02
23.2,-4.037936E-02
23.25,-3.467039E-02
23.3,-3.089136E-02
23.35,-4.404739E-02
23.4,-5.658386E-02
23.45,-4.333099E-02
23.5,-6.282602E-02
23.55,-8.363841E-02
23.6,-9.822616E-02
23.65,-9.758038E-02
23.7,-0.1264199
23.75,-0.1305055
23.8,-0.1239405
23.85,-0.131707
23.9,-0.1338339
23.95,-0.1180515
24,-9.563796E-02
24.05,-8.502007E-02
24.1,-6.671388E-02
24.15,-0.0616718
24.2,-6.944541E-02
24.25,-8.771579E-02
24.3,-8.201336E-02
24.35,-8.745427E-02
24.4,-9.682786E-02
24.45,-9.383896E-02
24.5,-0.1055816
24.55,-0.118028
24.6,-0.1303598
24.65,-0.143075
24.7,-0.1665177
24.75,-0.1777219
24.8,-0.179466
24.85,-0.1799404
24.9,-0.1963247
24.95,-0.212794
25,-0.2211547
25.05,-0.2080738
25.1,-0.1888408
25.15,-0.1674712
25.2,-0.1548732
25.25,-0.1725092
25.3,-0.1633411
25.35,-0.1448754
25.4,-0.1261215
25.45,-0.1218924
25.5,-0.1276905
25.55,-0.1264495
25.6,-0.1246435
25.65,-0.1405074
25.7,-0.1370941
25.75,-0.1492719
25.8,-0.1693989
25.85,-0.1710277
25.9,-0.1850881
25.95,-0.1944054
26,-0.2001048
26.05,-0.2099058
26.1,-0.205903
26.15,-0.1920952
26.2,-0.1707461
26.25,-0.1456529
26.3,-0.1794343
26.35,-0.2173529
26.4,-0.2462338
26.45,-0.2524118
26.5,-0.2354397
26.55,-0.2281014
26.6,-0.2274206
26.65,-0.2121448
26.7,-0.2128032
26.75,-0.2170927
26.8,-0.2260147
26.85,-0.2482286
26.9,-0.2473033
26.95,-0.2319312
27,-0.2113518
27.05,-0.2079172
27.1,-0.2211152
27.15,-0.2363087
27.2,-0.2513579
27.25,-0.2678619
27.3,-0.2764109
27.35,-0.2776578
27.4,-0.2687305
27.45,-0.2397102
27.5,-0.2261066
27.55,-0.2253675
27.6,-0.2240752
27.65,-0.1791622
27.7,-0.1633434
27.75,-0.1578015
27.8,-0.1535462
27.85,-0.1331211
27.9,-0.1173494
27.95,-0.1209734
28,-0.1459089
28.05,-0.187569
28.1,-0.2113517
28.15,-0.2205802
28.2,-0.2212564
28.25,-0.2333091
28.3,-0.2367595
28.35,-0.2288639
28.4,-0.2116262
28.45,-0.1957559
28.5,-0.2104294
28.55,-0.2327261
28.6,-0.2510675
28.65,-0.2413125
28.7,-0.225575
28.75,-0.2035327
28.8,-0.1771122
28.85,-0.1552864
28.9,-0.1414625
28.95,-0.1420935
29,-0.1659935
29.05,-0.2451191
29.1,-0.2588066
29.15,-0.2440581
29.2,-0.2166857
29.25,-0.2018218
29.3,-0.1847792
29.35,-0.1756563
29.4,-0.1800594
29.45,-0.2103493
29.5,-0.2486105
29.55,-0.2793465
29.6,-0.291906
29.65,-0.2563778
29.7,-0.2415606
29.75,-0.2368761
29.8,-0.2385273
