Data File Name,2100 expert_DNA 7500_DE34903367_2015-04-21_13-23-20.xad
Data File Path,C:\Users\GEGC\Desktop
Date Created,"Tuesday, April 21, 2015 06:23:20"
Date Last Modified,"Tuesday, April 21, 2015 06:56:25"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,DNA 7500 Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,DNA 7500
Assay Version,2.3
 
Number of Samples Run,12
 
Sample Name,14
Number of Events,1481
 
Time,Value
20,-3.875732E-02
20.05,-3.875732E-02
20.1,-3.875732E-02
20.15,-3.875732E-02
20.2,-3.875732E-02
20.25,-3.875732E-02
20.3,-3.875732E-02
20.35,-3.875732E-02
20.4,-3.875732E-02
20.45,-3.875732E-02
20.5,-3.875732E-02
20.55,-3.875732E-02
20.6,-3.875732E-02
20.65,-3.875732E-02
20.7,-3.875732E-02
20.75,-3.875732E-02
20.8,-3.875732E-02
20.85,-3.875732E-02
20.9,-3.875732E-02
20.95,-3.875732E-02
21,-3.875732E-02
21.05,-3.875732E-02
21.1,-3.875732E-02
21.15,-3.875732E-02
21.2,-3.875732E-02
21.25,-3.875732E-02
21.3,-3.875732E-02
21.35,-3.875732E-02
21.4,-3.875732E-02
21.45,-3.875732E-02
21.5,-3.875732E-02
21.55,-3.875732E-02
21.6,-3.875732E-02
21.65,-3.875732E-02
21.7,-3.875732E-02
21.75,-3.875732E-02
21.8,-3.875732E-02
21.85,-3.875732E-02
21.9,-3.875732E-02
21.95,-3.875732E-02
22,-6.077703E-02
22.05,-5.438619E-02
22.1,1.088965E-02
22.15,9.284533E-02
22.2,0.131937
22.25,0.1045497
22.3,-1.665618E-02
22.35,-0.0993025
22.4,-0.1319371
22.45,-0.1099972
22.5,-4.422925E-02
22.55,3.109076E-02
22.6,0.0623667
22.65,6.79853E-03
22.7,-1.140712E-02
22.75,-1.177765E-02
22.8,-1.023548E-02
22.85,-3.815906E-03
22.9,2.268645E-03
22.95,-1.466356E-02
23,-5.013052E-02
23.05,-6.610363E-02
23.1,-9.867188E-02
23.15,-0.1135159
23.2,-0.1226081
23.25,-0.1409079
23.3,-0.1570017
23.35,-0.1527509
23.4,-0.1490891
23.45,-0.1605641
23.5,-0.1639601
23.55,-0.1777077
23.6,-0.2067024
23.65,-0.2259399
23.7,-0.2380309
23.75,-0.217311
23.8,-0.2050363
23.85,-0.200846
23.9,-0.1972329
23.95,-0.1959433
24,-0.2050391
24.05,-0.2104885
24.1,-0.2094213
24.15,-0.2367084
24.2,-0.2238767
24.25,-0.2154417
24.3,-0.2355574
24.35,-0.2583236
24.4,-0.2979431
24.45,-0.2949956
24.5,-0.2577009
24.55,-0.2194103
24.6,-0.1899883
24.65,-0.1603351
24.7,-0.1362735
24.75,-0.1940956
24.8,-0.2604119
24.85,-0.3251439
24.9,-0.3166921
24.95,-0.2452806
25,-0.1634911
25.05,-0.1189815
25.1,-0.1049949
25.15,-0.1697765
25.2,-0.245179
25.25,-0.3203332
25.3,-0.3740477
25.35,-0.3777714
25.4,-0.3184193
25.45,-0.2298117
25.5,-0.1830807
25.55,-0.1300028
25.6,-0.149516
25.65,-0.2188784
25.7,-0.2952765
25.75,-0.3553718
25.8,-0.4078497
25.85,-0.3808833
25.9,-0.3442683
25.95,-0.3046074
26,-0.2748313
26.05,-0.269403
26.1,-0.2863019
26.15,-0.2934069
26.2,-0.3008281
26.25,-0.3191974
26.3,-0.3303158
26.35,-0.3660967
26.4,-0.4120895
26.45,-0.4335815
26.5,-0.4307408
26.55,-0.3973185
26.6,-0.3695599
26.65,-0.3325391
26.7,-0.3160571
26.75,-0.3228233
26.8,-0.3391142
26.85,-0.3590207
26.9,-0.3487641
26.95,-0.357827
27,-0.3415291
27.05,-0.331852
27.1,-0.3324691
27.15,-0.33844
27.2,-0.3619783
27.25,-0.3585266
27.3,-0.3619672
27.35,-0.3684208
27.4,-0.3692037
27.45,-0.3803509
27.5,-0.4136786
27.55,-0.447295
27.6,-0.4206627
27.65,-0.4300297
27.7,-0.3987728
27.75,-0.3533102
27.8,-0.3262066
27.85,-0.3392015
27.9,-0.3883584
27.95,-0.3959889
28,-0.354403
28.05,-0.3505475
28.1,-0.367356
28.15,-0.3798758
28.2,-0.3803896
28.25,-0.3867446
28.3,-0.4308835
28.35,-0.4125594
28.4,-0.3910899
28.45,-0.3952143
28.5,-0.4315035
28.55,-0.4733043
28.6,-0.4799436
28.65,-0.4759613
28.7,-0.4363887
28.75,-0.414582
28.8,-0.411193
28.85,-0.4227829
