Data File Name,2100 expert_DNA 7500_DE34903367_2015-04-21_12-39-18.xad
Data File Path,C:\Users\GEGC\Desktop
Date Created,"Tuesday, April 21, 2015 05:39:17"
Date Last Modified,"Tuesday, April 21, 2015 06:16:44"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,DNA 7500 Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,DNA 7500
Assay Version,2.3
 
Number of Samples Run,12
 
Sample Name,Sample 2
Number of Events,1481
 
Time,Value
20,2.297974E-02
20.05,2.297974E-02
20.1,2.297974E-02
20.15,2.297974E-02
20.2,2.297974E-02
20.25,2.297974E-02
20.3,2.297974E-02
20.35,2.297974E-02
20.4,2.297974E-02
20.45,2.297974E-02
20.5,2.297974E-02
20.55,2.297974E-02
20.6,2.297974E-02
20.65,2.297974E-02
20.7,2.297974E-02
20.75,2.297974E-02
20.8,2.297974E-02
20.85,2.297974E-02
20.9,2.297974E-02
20.95,2.297974E-02
21,2.297974E-02
21.05,2.297974E-02
21.1,2.297974E-02
21.15,2.297974E-02
21.2,2.297974E-02
21.25,2.297974E-02
21.3,2.297974E-02
21.35,2.297974E-02
21.4,2.297974E-02
21.45,2.297974E-02
21.5,2.297974E-02
21.55,2.297974E-02
21.6,2.297974E-02
21.65,2.297974E-02
21.7,2.297974E-02
21.75,2.297974E-02
21.8,-0.0182352
21.85,-2.702973E-02
21.9,-3.429752E-02
21.95,-3.969095E-02
22,-4.375355E-02
22.05,-5.189161E-02
22.1,-5.078726E-02
22.15,-3.427286E-02
22.2,-7.584405E-02
22.25,-0.0968859
22.3,-8.644781E-02
22.35,-0.1071764
22.4,-9.955961E-02
22.45,-8.073765E-02
22.5,-5.845966E-02
22.55,-6.581878E-02
22.6,-0.1176673
22.65,-0.150837
22.7,-0.1248231
22.75,-0.1107079
22.8,-9.667195E-02
22.85,-7.387143E-02
22.9,-8.610217E-02
22.95,-0.1314702
23,-0.1955525
23.05,-0.2285686
23.1,-0.2076282
23.15,-0.1944573
23.2,-0.162005
23.25,-0.1525218
23.3,-0.1714865
23.35,-0.2274525
23.4,-0.2739992
23.45,-0.292222
23.5,-0.2836502
23.55,-0.2593031
23.6,-0.2368548
23.65,-0.2405138
23.7,-0.2899247
23.75,-0.3174218
23.8,-0.3213708
23.85,-0.2808452
23.9,-0.2328586
23.95,-0.2174012
24,-0.2306933
24.05,-0.272404
24.1,-0.3403795
24.15,-0.3611549
24.2,-0.3768983
24.25,-0.364058
24.3,-0.3567731
24.35,-0.3533638
24.4,-0.3718349
24.45,-0.3891852
24.5,-0.391372
24.55,-0.381241
24.6,-0.3656642
24.65,-0.3589514
24.7,-0.2836927
24.75,-0.2408923
24.8,-0.2110522
24.85,-0.2021494
24.9,-0.2175516
24.95,-0.2651599
25,-0.3449784
25.05,-0.418374
25.1,-0.4215577
25.15,-0.3619661
25.2,-0.3400463
25.25,-0.3218217
25.3,-0.2995234
25.35,-0.3076781
25.4,-0.3368447
25.45,-0.3665735
25.5,-0.374265
25.55,-0.3730775
25.6,-0.4172727
25.65,-0.4783202
25.7,-0.4952316
25.75,-0.4669207
25.8,-0.4425986
25.85,-0.4015951
25.9,-0.3526239
25.95,-0.2969583
26,-0.244511
26.05,-0.2264639
26.1,-0.2598278
26.15,-0.2933314
26.2,-0.4232097
26.25,-0.4624114
26.3,-0.4798457
26.35,-0.4699137
26.4,-0.4404149
26.45,-0.4196169
26.5,-0.4168478
26.55,-0.4189432
26.6,-0.4321865
26.65,-0.4520542
26.7,-0.4159837
26.75,-0.4254416
26.8,-0.4540954
26.85,-0.4785145
26.9,-0.457682
26.95,-0.4053824
27,-0.3659936
27.05,-0.3511584
27.1,-0.3424857
27.15,-0.3647822
27.2,-0.4378305
27.25,-0.5185648
27.3,-0.5612665
27.35,-0.5816298
27.4,-0.5937051
27.45,-0.5859405
27.5,-0.5557794
27.55,-0.5325331
27.6,-0.5280599
27.65,-0.5238116
27.7,-0.4965456
27.75,-0.5438473
27.8,-0.5940793
27.85,-0.6166993
27.9,-0.626524
27.95,-0.6112332
28,-0.5644722
28.05,-0.5262688
28.1,-0.4541086
28.15,-0.4025676
28.2,-0.4249672
28.25,-0.4414549
28.3,-0.4769324
28.35,-0.5129023
28.4,-0.5368432
28.45,-0.5546077
28.5,-0.5703952
28.55,-0.5824984
28.6,-0.6302662
28.65,-0.6753579
28.7,-0.6497632
28.75,-0.593192
28.8,-0.5412693
28.85,-0.5305775
28.9,-0.5508085
28.95,-0.5894194
29,-0.6444032
29.05,-0.6782238
29.1,-0.6738836
29.15,-0.6524848
29.2,-0.6317542
29.25,-0.6674577
29.3,-0.7248776
29.35,-0.7346137
29.4,-0.7191337
29.45,-0.7188769
29.5,-0.7170993
29.55,-0.7047974
29.6,-0.6370243
29.65,-0.6425676
29.7,-0.6008381
29.75,-0.541037
