Data File Name,2100 expert_DNA 7500_DE34903367_2015-04-21_12-39-18.xad
Data File Path,C:\Users\GEGC\Desktop
Date Created,"Tuesday, April 21, 2015 05:39:17"
Date Last Modified,"Tuesday, April 21, 2015 06:16:44"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,DNA 7500 Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,DNA 7500
Assay Version,2.3
 
Number of Samples Run,12
 
Sample Name,Sample 6
Number of Events,1481
 
Time,Value
20,-7.493591E-02
20.05,-7.493591E-02
20.1,-7.493591E-02
20.15,-7.493591E-02
20.2,-7.493591E-02
20.25,-7.493591E-02
20.3,-7.493591E-02
20.35,-7.493591E-02
20.4,-7.493591E-02
20.45,-7.493591E-02
20.5,-7.493591E-02
20.55,-7.493591E-02
20.6,-7.493591E-02
20.65,-7.493591E-02
20.7,-7.493591E-02
20.75,-7.493591E-02
20.8,-7.493591E-02
20.85,-7.493591E-02
20.9,-7.493591E-02
20.95,-7.493591E-02
21,-7.493591E-02
21.05,-7.493591E-02
21.1,-7.493591E-02
21.15,-7.493591E-02
21.2,-7.493591E-02
21.25,-7.493591E-02
21.3,-7.493591E-02
21.35,-7.493591E-02
21.4,-7.493591E-02
21.45,-7.493591E-02
21.5,-7.493591E-02
21.55,-7.493591E-02
21.6,-7.493591E-02
21.65,-7.493591E-02
21.7,-7.493591E-02
21.75,-6.863568E-02
21.8,-8.325783E-02
21.85,-9.832757E-02
21.9,-0.1083492
21.95,-0.1342093
22,-0.1360024
22.05,-0.1376869
22.1,-0.1399321
22.15,-0.1434581
22.2,-0.1397492
22.25,-6.845779E-02
22.3,-0.0529714
22.35,-4.476023E-02
22.4,-3.420659E-02
22.45,-2.455724E-02
22.5,-3.014799E-02
22.55,-2.500607E-02
22.6,-4.133069E-02
22.65,-5.836526E-02
22.7,-0.0648741
22.75,-6.271857E-02
22.8,-9.390973E-02
22.85,-9.270737E-02
22.9,-7.828774E-02
22.95,-0.0725821
23,-8.545887E-02
23.05,-0.0960676
23.1,-0.1082599
23.15,-0.1225798
23.2,-0.1293897
23.25,-0.1316117
23.3,-0.141197
23.35,-0.1311669
23.4,-0.1316316
23.45,-0.1215304
23.5,-0.1066458
23.55,-9.907822E-02
23.6,-0.1010519
23.65,-8.931046E-02
23.7,-0.101013
23.75,-0.1141368
23.8,-0.1139523
23.85,-0.1028437
23.9,-9.544749E-02
23.95,-7.259775E-02
24,-6.556331E-02
24.05,-5.804255E-02
24.1,-0.0290377
24.15,-3.887444E-02
24.2,-0.0786703
24.25,-6.319705E-02
24.3,-1.584223E-02
24.35,3.244879E-02
24.4,6.773949E-02
24.45,1.770721E-02
24.5,-4.459677E-02
24.55,-9.977362E-02
24.6,-0.156486
24.65,-0.2296911
24.7,-0.2565501
24.75,-0.2293844
24.8,-0.1944568
24.85,-0.168526
24.9,-0.1584753
24.95,-0.1632756
25,-0.1590002
25.05,-0.1541304
25.1,-0.1634703
25.15,-0.1786016
25.2,-0.1762327
25.25,-0.1769113
25.3,-0.1716314
25.35,-0.1756129
25.4,-0.1899009
25.45,-0.2048886
25.5,-0.1933397
25.55,-0.1720061
25.6,-0.1403027
25.65,-6.193037E-02
25.7,6.893108E-02
25.75,0.2200077
25.8,0.3158349
25.85,0.290367
25.9,0.2086243
25.95,9.405646E-02
26,-4.272714E-02
26.05,-0.1786421
26.1,-0.2704016
26.15,-0.2748293
26.2,-0.2592962
26.25,-0.2683713
26.3,-0.2897667
26.35,-0.2722031
26.4,-0.2575231
26.45,-0.2430576
26.5,-0.2401861
26.55,-0.2592635
26.6,-0.2628186
26.65,-0.2640828
26.7,-0.2843444
26.75,-0.2930426
26.8,-0.2695957
26.85,-0.2309384
26.9,-0.2159171
26.95,-0.2190714
27,-0.235669
27.05,-0.2590427
27.1,-0.2842456
27.15,-0.3314308
27.2,-0.3355594
27.25,-0.3151984
27.3,-0.3031771
27.35,-0.3231102
27.4,-0.3650719
27.45,-0.3661925
27.5,-0.3554254
27.55,-0.3419961
27.6,-0.3334021
27.65,-0.3343296
27.7,-0.3277674
27.75,-0.3668278
27.8,-0.4003741
27.85,-0.4113898
27.9,-0.4017622
27.95,-0.3930707
28,-0.3962701
28.05,-0.4085868
28.1,-0.4300379
28.15,-0.4566609
28.2,-0.4792836
28.25,-0.4702749
28.3,-0.4377556
28.35,-0.4121241
28.4,-0.4110135
28.45,-0.4365265
28.5,-0.4514435
28.55,-0.4585623
28.6,-0.4796337
28.65,-0.4937693
28.7,-0.4834535
28.75,-0.4493238
28.8,-0.4742583
28.85,-0.4784847
28.9,-0.4720638
28.95,-0.4686583
29,-0.4756881
29.05,-0.4452876
29.1,-0.461981
29.15,-0.4742576
29.2,-0.4992372
29.25,-0.5509375
29.3,-0.6017461
29.35,-0.6136351
29.4,-0.6111674
29.45,-0.6048427
