Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
CRS 8B	Default	5/26/2015	03:41	32.03	0.641	0.310	2.07	0.50	50.00	230	1.287	0.034
CRS 11B	Default	5/26/2015	03:42	76.56	1.531	0.797	1.92	0.95	50.00	230	1.619	0.175
CRS 10A	Default	5/26/2015	03:43	77.73	1.555	0.790	1.97	0.90	50.00	230	1.720	0.175
CRS 39	Default	5/26/2015	03:44	5.52	0.110	0.054	2.03	0.12	50.00	230	0.935	0.001
CRS 12B	Default	5/26/2015	03:45	104.81	2.096	1.081	1.94	0.90	50.00	230	2.341	0.219
CRS 18B	Default	5/26/2015	03:47	119.47	2.389	1.236	1.93	0.63	50.00	230	3.780	0.652
CRS 26	Default	5/26/2015	03:48	156.60	3.132	1.225	2.56	0.52	50.00	230	6.046	0.291
CRS 16B	Default	5/26/2015	03:49	52.62	1.052	0.530	1.99	0.63	50.00	230	1.666	0.131
CRS 33	Default	5/26/2015	03:51	271.99	5.440	2.194	2.48	0.58	50.00	230	9.348	0.275
CRS 32	Default	5/26/2015	03:52	NaN	NaN	0.797	NaN	NaN	50.00	230	1.488	-1.742
CRS 32.1	Default	5/26/2015	03:52	318.29	6.366	2.340	2.72	0.51	50.00	230	12.545	0.267
CRS 34B	Default	5/26/2015	03:53	178.89	3.578	1.262	2.83	0.44	50.00	230	8.054	0.139
CRS 37A	Default	5/26/2015	03:54	63.96	1.279	0.530	2.41	0.31	50.00	230	4.171	-0.011
CRS 37A	Default	5/26/2015	04:18	0.00	0.000	0.000	NaN	NaN	50.00	230	0.000	0.000
CRS H2O	Default	5/26/2015	04:19	-0.11	-0.002	-0.002	1.11	0.29	50.00	230	-0.008	0.013
CRS 37A	Default	5/26/2015	04:20	66.20	1.324	0.535	2.48	0.31	50.00	230	4.280	0.027
CRS 14	Default	5/26/2015	04:21	104.84	2.097	1.059	1.98	0.92	50.00	230	2.279	-0.336
CRS 1	Default	5/26/2015	09:29	73.24	1.465	0.792	1.85	0.40	50.00	230	3.651	0.223
