accession,taxid
KP980491.1,433004
KP980490.1,312777
KP980489.1,1708565
KP980488.1,240691
KP980487.1,240691
KP980486.1,140796
KP980485.1,1708571
KP980484.1,432996
KP980483.1,240691
KP980482.1,312777
KP980481.1,433004
KP980480.1,240690
KP980479.1,513295
KP980478.1,513294
KP980477.1,312777
KP980476.1,240682
KP980475.1,240688
KP980474.1,140796
KP980473.1,140796
KP980472.1,312774
KP980471.1,140796
KP980470.1,314428
KP980469.1,240691
KP980468.1,312740
KP980467.1,240691
KP980466.1,240691
KP980465.1,432978
KP980464.1,1708566
KP980463.1,1708570
KP980462.1,513294
KP980461.1,240691
KP980460.1,1708565
KP980459.1,432993
KP980458.1,240690
KP980457.1,1708570
KP980456.1,240691
KP980455.1,1708565
KP980454.1,240682
KP980453.1,661416
KP980452.1,1708570
KP980451.1,240691
KP980450.1,312774
KP980449.1,140796
KP980448.1,240688
KP980447.1,240688
KP980446.1,669647
KP980445.1,240688
KP980444.1,513295
KP980443.1,432996
KP980442.1,240688
KP980441.1,432993
KP980440.1,432993
KP980439.1,432995
KP980438.1,912391
KP980437.1,432978
KP980436.1,1708570
KP980435.1,240689
KP980434.1,513294
KP980433.1,661418
KP980432.1,432993
KP980431.1,140796
KP980430.1,1708570
KP980429.1,240691
KP980428.1,661418
KP980427.1,240683
KP980426.1,312740
KP980425.1,312774
KP980424.1,432978
KP980423.1,240690
KP980422.1,240691
KP980421.1,140796
KP980420.1,140796
KP980419.1,240666
KP980418.1,69854
KP980417.1,432978
KP980416.1,432978
KP980415.1,312774
KP980414.1,240685
KP980413.1,513294
KP980412.1,432978
KP980411.1,240690
KP980410.1,240690
KP980409.1,1708571
KP980408.1,912391
KP980407.1,240690
KP980406.1,240683
KP980405.1,312740
KP980404.1,312774
KP980403.1,1708569
KP980402.1,314428
KP980401.1,140796
KP980400.1,1708570
KP980399.1,314428
KP980398.1,140796
KP980397.1,240689
KP980396.1,314428
KP980395.1,661418
KP980394.1,240688
KP980393.1,432993
KP980392.1,312774
KP980391.1,240685
KP980390.1,432978
KP980389.1,234465
KP980388.1,432993
KP980387.1,314428
KP980386.1,433004
KP980385.1,240685
KP980384.1,912379
KP980383.1,432978
KP980382.1,240691
KP980381.1,240691
KP980380.1,661418
KP980379.1,432996
