accession,taxid
JN999080.1,241231
JN999079.1,241231
JN999078.1,241231
JN999077.1,100286
JN999076.1,100286
JN999075.1,100286
JN999074.1,100286
JN999073.1,669651
JN999072.1,669651
JN999071.1,669651
JN999070.1,669651
JN999069.1,241228
JN999068.1,241228
JN999067.1,241228
JN999066.1,140845
JN999065.1,140845
JN999064.1,234725
JN999063.1,234725
JN999062.1,234725
JN999061.1,140785
JN999060.1,240694
JN999059.1,240694
JN999058.1,240694
JN999057.1,240694
JN999056.1,432996
JN999055.1,432996
JN999054.1,432996
JN999053.1,312751
JN999052.1,669651
JN999051.1,241203
JN999050.1,312745
JN999049.1,312745
JN999048.1,312745
JN999047.1,312745
JN999046.1,513295
JN999045.1,513295
JN999044.1,513295
JN999043.1,513295
JN999042.1,312744
JN999041.1,312744
JN999040.1,312744
JN999039.1,312744
JN999038.1,312744
JN999037.1,912431
JN999036.1,912431
JN999035.1,912404
JN999034.1,912404
JN999033.1,912404
JN999032.1,240692
JN999031.1,240692
JN999030.1,240692
JN999029.1,140797
JN999028.1,140797
JN999027.1,241203
JN999026.1,241203
JN999025.1,241203
JN999024.1,241203
JN999023.1,241203
JN999022.1,241203
JN999021.1,140796
JN999020.1,140789
JN999019.1,241197
JN999018.1,241197
JN999017.1,241197
JN999016.1,241197
JN999015.1,241197
JN999014.1,140788
JN999013.1,140788
JN999012.1,140788
JN998959.1,90178
JN998958.1,90178
JN998957.1,90178
JN998956.1,90178
JN998955.1,20403
JN998954.1,20403
JN998953.1,20403
JX644850.1,1249725
JX644849.1,1249724
JX644848.1,312774
JX644847.1,1249722
JX644846.1,240665
JX644845.1,418180
JX644844.1,1249721
JX644843.1,140864
JX644842.1,1200291
JX644841.1,418179
JX644840.1,1249719
JX644839.1,1249718
JX644838.1,1249717
JX644837.1,140841
JX644836.1,1249716
JX644835.1,1197104
JX644834.1,432999
JX644833.1,140836
JX644832.1,314433
JX644831.1,140829
JX644830.1,1249713
JX644829.1,472444
JX644828.1,1249710
JX644827.1,140824
JX644826.1,418299
JX644825.1,1249708
JX644824.1,185304
JX644823.1,1249707
JX644822.1,418160
JX644821.1,1249706
JX644820.1,185303
JX644819.1,1249705
JX644818.1,1197096
JX644817.1,140796
JX644816.1,418154
JX644815.1,241196
JX644814.1,1249702
JQ360449.1,1249079
JQ360448.1,1249079
JQ360447.1,1249079
JQ360446.1,1249079
JQ360445.1,1249079
JQ360444.1,1249079
JQ360437.1,1249084
JQ360436.1,1249084
JQ360435.1,1249084
JQ360434.1,1249084
JQ360433.1,1249084
JQ360432.1,1249084
JQ360431.1,1249082
JQ360430.1,1249082
JQ360429.1,1249082
JQ360428.1,1249082
JQ360427.1,1249082
JQ360426.1,1249082
JQ360425.1,72978
JQ360424.1,72978
JQ360423.1,72978
JQ360422.1,72978
JQ360421.1,72978
JQ360420.1,72978
JQ360419.1,526934
JQ360418.1,526934
JQ360417.1,526934
JQ360416.1,526934
JQ360415.1,526934
JQ360414.1,526934
JQ360413.1,547782
JQ360412.1,547782
JQ360411.1,547782
JQ360410.1,547782
JQ360409.1,547782
JQ360408.1,547782
JQ360407.1,1249083
JQ360406.1,1249083
JQ360405.1,1249083
JQ360404.1,1249083
JQ360403.1,1249083
JQ360402.1,1249083
JQ360401.1,526933
JQ360400.1,556906
JQ360399.1,481944
JQ360398.1,55612
JQ360397.1,1249086
JQ360396.1,1249085
JQ360395.1,556914
JQ360394.1,408821
JQ360393.1,481938
JQ360392.1,481941
JQ360390.1,1249081
JN903151.1,240678
JN903150.1,312774
JN903149.1,433008
JN903148.1,312766
JN903147.1,234465
JN903146.1,472446
JN903145.1,314432
JN903144.1,140826
JN903143.1,312750
JN903142.1,653374
JN903141.1,314428
JN903140.1,472443
JN903139.1,513295
JN903138.1,418163
JN903137.1,240685
JN903136.1,240680
JN903135.1,140803
JN903134.1,312738
JN903133.1,432985
JN903132.1,140792
JN903131.1,432978
JN903130.1,432977
JN903129.1,432976
JN903128.1,432975
JX121566.1,382522
JX121565.1,382522
JX121564.1,74148
JX121563.1,74147
JX121562.1,74147
JX121561.1,74147
JX121560.1,74149
JX121559.1,74149
JX121558.1,74149
JX121557.1,4234
JX121556.1,4234
JX121555.1,4234
JX121554.1,4234
JX121553.1,4234
JX121552.1,4234
JX121551.1,4234
JX121550.1,4234
JX121549.1,4234
JX121548.1,4234
JX121547.1,4234
JX121546.1,4234
JX121545.1,4234
JX121544.1,4234
JX121543.1,4234
JX121542.1,74151
JX121541.1,74151
JX121540.1,74151
JX121539.1,74150
JX121538.1,74150
JX121537.1,74150
JX121536.1,1221641
JX121535.1,1221641
JX121534.1,1221640
JX121533.1,1221640
JX121532.1,1221640
JX121531.1,382676
JX121530.1,382676
JX121529.1,382676
JX121528.1,1221639
JX121527.1,1221639
JX121526.1,1221639
JX121525.1,1221638
JX121524.1,1221638
JX121523.1,1221638
JX121522.1,73300
JX121521.1,73300
JX121520.1,73300
JX121519.1,73297
JX121518.1,73297
JX121517.1,73297
JX121516.1,73288
JX121515.1,73288
JX121514.1,73288
JX121513.1,73288
JX121512.1,73285
JX121511.1,73285
JX121510.1,73285
JX121509.1,73283
JX121508.1,73283
JX121507.1,73283
JX121506.1,73283
JX121505.1,73283
JX121504.1,73283
JX121503.1,73283
JX121502.1,73283
JX121501.1,73283
JX121500.1,73283
JX121499.1,73283
JX121498.1,73283
JX121497.1,73283
JX121496.1,73283
JX121495.1,73283
JX121494.1,73283
JX121493.1,4233
JX121492.1,4233
JX121491.1,4233
JX121490.1,4233
JX121489.1,4233
JX121488.1,74143
JX121487.1,74143
JX121486.1,74143
JX121485.1,74143
JX121484.1,74143
JX121483.1,74143
JX121482.1,74143
JX121481.1,74143
JX121480.1,74141
JX121479.1,74141
JX121478.1,74141
JX121477.1,74141
JX121476.1,74141
JX121475.1,74141
JX121474.1,74139
JX121473.1,74139
JX121472.1,74139
JX121471.1,74139
JX121470.1,74139
JX121469.1,74139
JX121468.1,74139
JX121467.1,73275
JX121466.1,73275
JX121465.1,73275
JX121464.1,73275
JX121463.1,73275
JX121462.1,73275
JX121461.1,73275
JX121460.1,73275
JX121459.1,73275
JX121458.1,73275
JX121457.1,73275
JX121456.1,73275
JX121455.1,73275
JX121454.1,73275
JX121453.1,73275
JX121452.1,73275
JX121451.1,73275
JX121450.1,73275
JX121449.1,73275
JX121448.1,73275
JX121447.1,73275
JX121446.1,73275
JX121445.1,73275
JX121444.1,73275
JX121443.1,73275
JX121442.1,73275
JX121441.1,73275
JX121440.1,73275
JX121439.1,73275
JX121438.1,73275
JX121437.1,73275
JX121436.1,4232
JX121435.1,4232
JX121434.1,4232
JX121433.1,4232
JX121432.1,4232
JX121431.1,4232
JX121430.1,4232
JN314576.1,241227
JN314575.1,241227
JN314574.1,1200285
JN314573.1,1200286
JN314572.1,1200292
JN314571.1,1200292
JN314570.1,1200287
JN314569.1,241230
JN314568.1,241230
JN314567.1,669651
JN314566.1,1200286
JN314565.1,1200286
JN314564.1,1200287
JN314563.1,1200287
JN314562.1,669651
JN314561.1,1200292
JN314560.1,1200292
JN314559.1,1200290
JN314558.1,1200290
JN314557.1,1200290
JN314556.1,241230
JN314555.1,1200291
JN314554.1,241230
JN314553.1,1200291
JN314552.1,1200291
JN314551.1,1200291
JN314550.1,1200291
JN314549.1,1200291
JN314548.1,1200292
JN314547.1,1200292
JN314546.1,1200290
JN314545.1,1200293
JN314544.1,241236
JN314543.1,1200289
JN314542.1,1200290
JN314541.1,241236
JN314540.1,241236
JN314539.1,1200289
JN314538.1,1200293
JN314537.1,1200293
JN314536.1,1200293
JN314535.1,1200293
JN314534.1,1200292
JN204176.1,414033
JN315934.1,385370
JN315928.1,1196457
JN315927.1,71035
JN315926.1,199233
JN543862.1,1196460
JN543859.1,1196467
JN543856.1,1196496
JN543853.1,1196504
JN543850.1,1196848
JN543847.1,1196470
JN543844.1,1196477
JN543841.1,1196464
JN543838.1,1196468
JN543835.1,1196499
JN543832.1,858950
JN543829.1,1196475
JN543826.1,1196490
JN543823.1,1196481
JN543820.1,1196479
JN543817.1,669631
JN543814.1,1196501
JN543811.1,1196495
JN543808.1,1196484
JN543805.1,1196466
JN543802.1,1196474
JN543799.1,1196494
JN543796.1,1196485
JN543793.1,1196463
JN543790.1,1196489
JN543787.1,1196480
JN543784.1,1196482
JN543781.1,1196458
JN543778.1,1196498
JN543775.1,1196471
JN543772.1,1196500
JN543769.1,1196503
JN543766.1,1196497
JN543763.1,1196493
JN543760.1,1196487
JN543757.1,1196491
JN543754.1,1196465
JN543751.1,1196478
JN543748.1,588669
JN543745.1,947973
JN543742.1,72897
JN543739.1,1196476
JN543736.1,1196462
JN543733.1,1196846
JN543730.1,1196492
JN543724.1,1196486
JN543721.1,1196483
JN543718.1,481919
JN543715.1,415155
JN543712.1,1196469
JN543709.1,1196461
JN543706.1,191245
JN634719.1,1088041
JN634718.1,1088041
JN634717.1,13399
JN634716.1,13399
JN634715.1,13399
JN634714.1,1088040
JN634713.1,1088040
JN634712.1,1088040
JN634711.1,1088035
JN634710.1,1088035
JN634709.1,1088035
JN634708.1,1088027
JN634707.1,1088027
JN634706.1,1088027
JN634705.1,1088027
JN634704.1,1088027
JN634703.1,1088027
JN634702.1,571092
JN634701.1,571092
JN634700.1,571092
JN634699.1,1088027
JN634698.1,571092
JN634697.1,241214
JN634696.1,241214
JN634695.1,571092
JN634694.1,571092
JN634693.1,571092
JN634692.1,571092
JN634691.1,372276
JN634690.1,140816
JN634689.1,140816
JN634688.1,140816
JN634687.1,1088034
JN634686.1,1088034
JN634685.1,140816
JN634684.1,140816
JN634683.1,140816
JN634682.1,140816
JN634681.1,1088029
JN634680.1,1088029
JN634679.1,502422
JN634678.1,1088032
JN634677.1,1088032
JN634676.1,1088029
JN634675.1,1088029
JN634674.1,1088029
JN634673.1,1088031
JN634672.1,1088029
JN634671.1,1088029
JN634670.1,241237
JN634669.1,241237
JN634668.1,241237
JN634667.1,241237
JN634666.1,241237
JN634665.1,241204
JN634664.1,241204
JN634663.1,241204
JN634662.1,241204
JN634661.1,241204
JN634660.1,241204
JN634659.1,241204
JN634658.1,241204
JN634657.1,241204
JN634656.1,241204
JN634655.1,241204
JN634654.1,241204
JN634653.1,241204
JN634652.1,1088027
JN634651.1,1088027
JN634650.1,1088027
JN634649.1,1088376
JN634648.1,571092
JN634647.1,372276
JN634646.1,372276
JN634645.1,372276
JN634644.1,912472
DQ998948.1,418182
DQ998947.1,418181
DQ998946.1,418180
DQ998945.1,291486
DQ998944.1,234465
DQ998943.1,418179
DQ998942.1,314459
DQ998941.1,140847
DQ998940.1,69861
DQ998939.1,418178
DQ998938.1,418177
DQ998937.1,241224
DQ998936.1,418176
DQ998935.1,418175
DQ998934.1,234464
DQ998933.1,418174
DQ998932.1,140785
DQ998931.1,418172
DQ998930.1,140832
DQ998929.1,241216
DQ998928.1,418171
DQ998927.1,418170
DQ998926.1,418169
DQ998925.1,241213
DQ998924.1,140824
DQ998923.1,418168
DQ998922.1,418167
DQ998921.1,418166
DQ998920.1,418165
DQ998919.1,418164
DQ998918.1,140820
DQ998917.1,418163
DQ998916.1,418162
DQ998915.1,140814
DQ998914.1,418161
DQ998913.1,418160
DQ998912.1,140807
DQ998911.1,418159
DQ998910.1,418158
DQ998909.1,418157
DQ998908.1,140804
DQ998907.1,418156
DQ998906.1,140800
DQ998905.1,241203
DQ998904.1,418155
DQ998903.1,418154
DQ998902.1,418153
DQ998901.1,140789
DQ998900.1,69847
DQ998899.1,98862
JQ230979.1,50225
JF421475.1,649199
GQ365151.1,885035
GQ365150.1,885035
GQ365149.1,37685
GQ365148.1,37685
GQ365147.1,417392
GQ365146.1,417392
GQ365145.1,52152
GQ365144.1,417392
GQ373297.1,85679
GQ373296.1,85679
GQ373295.1,85679
GQ373294.1,435325
GQ373293.1,435325
GQ373292.1,435325
GQ373291.1,4588
GQ373290.1,4588
GQ373289.1,4588
GQ373288.1,4588
GQ373287.1,129757
GQ373286.1,129757
GQ373285.1,129757
GQ373284.1,129741
GQ373283.1,129741
GQ373282.1,129741
GQ373281.1,129741
GQ373280.1,129741
GQ373279.1,129741
GQ373278.1,666555
GQ373277.1,666555
GQ373276.1,666555
GQ373275.1,666555
GQ373271.1,666554
GQ373270.1,666554
GQ373269.1,666554
GQ373268.1,52152
GQ373267.1,52152
GQ373266.1,52152
GQ469860.1,234471
EU541876.1,240694
EU541875.1,240694
EU541874.1,240694
EU541873.1,240694
EU541872.1,240691
EU541871.1,513295
EU541870.1,240688
EU541869.1,240688
EU541868.1,513294
EU541867.1,140796
EU541866.1,140796
EU541865.1,140796
EU541864.1,140796
EU541863.1,240686
EU541862.1,240686
EU541861.1,240686
EU541860.1,234725
EU541859.1,234725
EU541858.1,234725
EU541857.1,234725
EU541856.1,513293
EU541855.1,234725
EU541854.1,513293
EU541853.1,241217
EU541852.1,241217
EU541851.1,241217
EU541850.1,241217
EU541849.1,241217
JF736669.1,119829
JF736668.1,119829
JF736667.1,119829
JF736666.1,119829
JF736665.1,119829
AY492117.1,69926
HQ891827.1,649199
HQ652975.1,265142
JF837600.1,1041103
JF837599.1,1041103
JF837598.1,1041103
JF769487.1,670324
HQ142621.1,691051
HQ142620.1,691051
HQ142619.1,691051
HQ142618.1,691051
HQ142617.1,691051
HQ142616.1,691051
HQ142615.1,691051
HQ142614.1,691051
HQ142613.1,691051
HQ142612.1,691051
HQ142611.1,691051
HQ142610.1,691051
HQ142609.1,691051
HQ142608.1,691051
HQ142607.1,691051
HQ142606.1,691051
HQ142605.1,691051
HQ142604.1,691051
HQ142603.1,199521
HQ142602.1,471153
HQ142601.1,471152
HQ142600.1,471152
HQ142599.1,471150
HQ142598.1,199520
HQ142597.1,691049
HQ142596.1,471149
HQ142595.1,330183
HQ142594.1,330183
HQ142593.1,330183
HQ142592.1,330183
HQ142591.1,59297
HQ142590.1,59294
HQ142589.1,691053
HQ142588.1,511490
HQ142587.1,996327
HQ142586.1,199523
HQ142585.1,691052
HQ142584.1,330184
HQ142583.1,471151
HQ142582.1,330182
HQ142581.1,471148
HQ142580.1,471154
HQ142579.1,996324
HQ142578.1,996325
HQ142577.1,72976
HQ142576.1,330185
HQ142575.1,669837
HQ241489.1,74143
HQ241488.1,74141
HQ241487.1,74139
GU217671.1,701534
GU217652.1,688281
GU217651.1,688281
GU217650.1,556514
GU217643.1,119829
GU217642.1,649199
GU217641.1,20401
GU217640.1,20401
GU217639.1,20401
GU217638.1,540758
GU217637.1,540758
GU217636.1,540758
GU217635.1,540757
GU217630.1,521744
GU217629.1,857492
GU217613.1,648866
AY244533.1,140875
AY244528.1,234726
AY244523.1,100285
AY244521.1,100286
AY244519.1,234725
AY244517.1,234725
DQ478988.1,382011
AY094171.1,192637
HQ154050.1,947974
HQ154049.1,385370
HQ154048.1,212788
HQ154047.1,714451
HQ154046.1,947972
HQ154045.1,588669
HQ154044.1,616994
HQ154042.1,947973
HQ154041.1,947970
EU812738.1,571098
EU812737.1,76423
EU812736.1,571104
EU812735.1,571100
EU812734.1,571099
EU812733.1,571099
EU812732.1,372258
EU812731.1,372258
EU812730.1,571096
EU812729.1,571096
EU812728.1,372262
EU812727.1,372262
EU812726.1,241205
EU812725.1,241205
EU812724.1,241205
EU812723.1,241205
EU812722.1,372259
EU812721.1,502403
EU812720.1,502403
EU812719.1,372256
EU812718.1,372278
EU812717.1,372264
EU812716.1,571106
EU812715.1,571106
EU812714.1,571106
EU812713.1,372277
EU812712.1,372260
EU812711.1,372260
EU812710.1,372257
EU812709.1,372257
EU812708.1,372271
EU812707.1,502433
EU812706.1,502433
EU812705.1,502427
EU812704.1,502427
EU812703.1,502427
EU812702.1,502427
EU812701.1,502427
EU812700.1,502427
EU812699.1,502427
EU812698.1,571095
EU812697.1,571095
EU812696.1,571095
EU812695.1,571103
EU812694.1,502438
EU812693.1,502438
EU812692.1,502410
EU812691.1,571094
EU812690.1,571090
EU812689.1,571093
EU812688.1,571097
EU812687.1,571097
EU812686.1,571097
EU812685.1,372275
EU812684.1,571102
EU812683.1,571105
EU812682.1,571105
EU288641.1,502439
EU288640.1,502438
EU288639.1,502438
EU288638.1,502437
EU288637.1,502436
EU288636.1,502436
EU288635.1,502436
EU288634.1,502434
EU288633.1,502434
EU288632.1,502434
EU288631.1,502455
EU288630.1,502455
EU288629.1,502454
EU288628.1,502433
EU288627.1,502433
EU288626.1,502433
EU288625.1,502433
EU288624.1,502433
EU288623.1,502433
EU288622.1,502432
EU288621.1,502432
EU288620.1,502432
EU288619.1,502432
EU288618.1,502432
EU288617.1,502431
EU288616.1,502430
EU288615.1,502428
EU288614.1,502427
EU288613.1,502427
EU288612.1,502427
EU288611.1,502426
EU288610.1,502426
EU288609.1,502424
EU288608.1,76424
EU288607.1,76424
EU288606.1,76424
EU288605.1,76424
EU288604.1,372275
EU288603.1,372275
EU288602.1,502421
EU288601.1,502427
EU288600.1,502419
EU288599.1,502419
EU288598.1,502419
EU288597.1,502418
EU288596.1,502416
EU288595.1,502416
EU288594.1,502414
EU288593.1,502413
EU288592.1,502413
EU288591.1,502411
EU288590.1,502411
EU288589.1,502410
EU288588.1,502410
EU288587.1,502410
EU288586.1,502409
EU288585.1,76423
EU288584.1,432984
EU288583.1,432984
EU288582.1,432984
EU288581.1,502469
EU288580.1,502406
EU288579.1,502405
EU288578.1,502404
EU288577.1,502402
EU288576.1,502400
EU288575.1,502400
EU288574.1,502400
EU288573.1,502400
EU288572.1,502400
EU288571.1,502400
EU288570.1,502399
EU288569.1,502397
EU288568.1,502467
EU288567.1,140783
EU288565.1,241232
EU288564.1,241230
EU288563.1,241225
EU288562.1,240683
EU288561.1,502425
EU288560.1,140840
EU288559.1,234464
EU288558.1,502423
EU288557.1,240664
EU288556.1,240688
EU288555.1,13399
EU288554.1,241211
EU288553.1,15193
EU288552.1,502415
EU288551.1,502412
EU288550.1,241208
EU288549.1,240695
EU288548.1,240674
EU288547.1,502401
EU288546.1,241203
EU288545.1,241202
EU288544.1,241199
EU288543.1,442460
EU288542.1,502398
DQ461149.1,314478
DQ461148.1,240668
DQ461147.1,312763
DQ461146.1,380463
DQ461145.1,314441
DQ461144.1,314439
DQ461143.1,314438
DQ461142.1,314436
DQ461141.1,140832
DQ461140.1,312745
DQ461139.1,312741
DQ461138.1,314417
DQ461137.1,234467
DQ461136.1,69871
DQ461135.1,380461
DQ461134.1,240691
DQ461133.1,240666
DQ461132.1,380460
DQ461131.1,234466
AY779182.1,111423
AY779181.1,314486
AY779180.1,140866
AY779179.1,314485
AY779178.1,140865
AY779177.1,314484
AY779176.1,314483
AY779175.1,314482
AY779174.1,314481
AY779173.1,314480
AY779172.1,314475
AY779171.1,314478
AY779170.1,314477
AY779169.1,314476
AY779168.1,314476
AY779167.1,314475
AY779166.1,314474
AY779165.1,314473
AY779164.1,314472
AY779163.1,314471
AY779162.1,314470
AY779161.1,314469
AY779160.1,314468
AY779159.1,314467
AY779158.1,240668
AY779157.1,314466
AY779156.1,314465
AY779155.1,314464
AY779154.1,314462
AY779153.1,312766
AY779152.1,314461
AY779151.1,314460
AY779150.1,234465
AY779149.1,312763
AY779148.1,314459
AY779147.1,312761
AY779146.1,314458
AY779145.1,314457
AY779144.1,314456
AY779143.1,314455
AY779142.1,314454
AY779141.1,314453
AY779140.1,314453
AY779139.1,314451
AY779138.1,314450
AY779137.1,69862
AY779136.1,314448
AY779135.1,314447
AY779134.1,140840
AY779133.1,140840
AY779132.1,140840
AY779131.1,314446
AY779130.1,314444
AY779129.1,314443
AY779128.1,314442
AY779127.1,314441
AY779126.1,240673
AY779125.1,314440
AY779124.1,312756
AY779123.1,314439
AY779122.1,314438
AY779121.1,314437
AY779120.1,314436
AY779119.1,314435
AY779118.1,314434
AY779117.1,240686
AY779116.1,314433
AY779115.1,314432
AY779114.1,314431
AY779113.1,314430
AY779112.1,203791
AY779111.1,314429
AY779110.1,314428
AY779109.1,314427
AY779108.1,314426
AY779107.1,240669
AY779106.1,314425
AY779105.1,314424
AY779104.1,314423
AY779103.1,140820
AY779102.1,314422
AY779101.1,140817
AY779100.1,314421
AY779099.1,314420
AY779098.1,314419
AY779097.1,314418
AY779096.1,314417
AY779095.1,314415
AY779094.1,314414
AY779093.1,314413
AY779092.1,314412
AY779091.1,314411
AY779090.1,314410
AY779089.1,314409
AY779088.1,314408
AY779087.1,240692
AY779086.1,314407
AY779085.1,314406
AY779084.1,314405
AY779083.1,314404
AY779082.1,314403
AY779081.1,100277
AY779080.1,312731
AY779079.1,140797
AY779078.1,140796
AY779077.1,314402
AY779076.1,240677
AY779075.1,314401
AY779074.1,240687
AY779073.1,140792
AY779072.1,140791
AY779071.1,314400
AY779070.1,240671
AY779069.1,314399
AY779068.1,314398
AY779067.1,314397
AY779066.1,314396
AY779065.1,314395
AY779064.1,314394
AY740803.1,129755
AY740802.1,129755
AY740801.1,129755
AY740800.1,129755
AY740799.1,293720
AY740798.1,293720
AY740797.1,293721
AY740796.1,293721
AY740794.1,37685
AY740793.1,4604
AY523854.1,262317
AY523851.1,199521
EF014249.1,4588
EF014248.1,417387
EF014247.1,417387
EF014246.1,417387
EF014245.1,417387
EF014244.1,417392
EF014240.1,120406
EF014239.1,4604
EF014238.1,37685
EF014237.1,417391
EF014236.1,417391
EF014235.1,417391
EF014226.1,417388
AF336336.1,173628
AF336335.1,173627
AF336334.1,173626
AF336333.1,173625
AF336332.1,173624
AF336331.1,173623
AF336330.1,173622
AF336329.1,173621
AF336328.1,173620
AF336327.1,173619
AF336326.1,173618
AF336325.1,173617
AF336324.1,173616
AF336323.1,173615
AF336322.1,173614
AF336321.1,173613
AF336320.1,173612
AF336319.1,173611
AF336318.1,173610
AF336317.1,173609
AF336316.1,173608
AF172017.1,53587
AF172016.1,121902
AF172015.1,121902
AF172014.1,121895
AF172012.1,121895
AF172010.1,121893
AF172009.1,121893
AF172008.1,121897
AF172007.1,121897
AF172006.1,121900
AF172005.1,121901
AF172004.1,121892
AF172003.1,121899
AF172002.1,53588
AF172001.1,121896
AF171999.1,121891
AF171998.1,53587
AF171997.1,121899
AF171996.1,121901
AF171995.1,121898
AF171994.1,121894
AF171993.1,121901
AF171990.1,121900
AF171989.1,53588
AF171987.1,121892
AF047901.1,74144
EU617248.1,293724
EU617247.1,293724
EU617246.1,293724
EU617245.1,293724
EU617244.1,293724
EU617243.1,293724
EU617242.1,293724
EU617240.1,293724
EU617239.1,417392
EU617238.1,417392
EU617237.1,417392
EU617236.1,417392
EU617235.1,417392
EU617234.1,417392
EU617233.1,417392
EU617232.1,417392
EU617231.1,417392
EU617230.1,417392
EU617229.1,417392
EU617228.1,417392
EU617227.1,417392
EU617226.1,417392
EU617225.1,417392
EU617224.1,417392
EU617223.1,417392
EU617222.1,417392
EU617221.1,417392
EU617220.1,417392
EU617219.1,417392
EU617218.1,417392
EU617217.1,417392
EU617216.1,417392
EU617215.1,417392
EU617214.1,417392
EU617213.1,417392
EU617212.1,417392
EU617211.1,417392
EU617210.1,417392
EU617209.1,417392
EU617208.1,417392
EU617207.1,417392
EU617206.1,417392
EU617205.1,417392
EU617204.1,417392
EU617203.1,417392
EU617202.1,417392
EU617201.1,417392
EU617200.1,417392
EU617199.1,417392
EU617198.1,417392
EU617197.1,417392
EU617196.1,417392
EU617195.1,417392
EU617194.1,417392
EU617193.1,417392
EU617192.1,417392
EU617191.1,417392
EU617190.1,417392
EU617189.1,417392
EU617188.1,417392
EU617187.1,417392
EU617186.1,417392
EU617185.1,417392
EU617184.1,417392
EU617183.1,417392
EU617182.1,417392
EU617181.1,417392
EU617179.1,417392
EU617178.1,417392
EU617177.1,417392
EU617176.1,417392
EU617175.1,417392
EU617174.1,417392
EU617173.1,417392
EU617170.1,417392
EU617169.1,417392
EU617168.1,417392
EU617167.1,417392
EU617166.1,417392
EU617165.1,417392
EU617164.1,417392
EU617163.1,417392
EU617162.1,417392
EU617161.1,417392
EU617160.1,417392
EU617159.1,417392
EU617158.1,417392
EU617157.1,417392
EU617156.1,417392
EU617155.1,417392
EU617154.1,417392
EU617153.1,417391
EU617152.1,417391
EU617123.1,37685
EU617122.1,37685
EU617121.1,37685
EU617120.1,37685
EU617119.1,37685
EU617118.1,37685
EU617117.1,37685
EU617116.1,37685
EU617114.1,37685
EU617113.1,37685
EU617112.1,37685
EU617111.1,37685
EU617110.1,37685
EU617109.1,37685
EU617108.1,37685
EU617107.1,37685
EU617106.1,37685
EU617105.1,37685
EU617104.1,37685
EU617103.1,37685
EU617102.1,37685
EU617101.1,37685
EU617100.1,37685
EU617099.1,37685
EU617098.1,37685
EU617097.1,37685
EU617096.1,37685
EU617095.1,37685
EU617094.1,37685
EU617093.1,37685
EU617092.1,37685
EU617091.1,37685
EU617065.1,4604
EU617064.1,4604
EU617063.1,4604
EU617062.1,4604
EU617061.1,4604
EU617060.1,4604
EU617059.1,4604
EU617058.1,4604
EU617057.1,4604
EU617055.1,4604
EU617054.1,4604
EU617053.1,4604
EU617052.1,120406
EU617051.1,120406
EU617050.1,120406
EU617049.1,120406
EU617048.1,120406
EU617047.1,120406
EU617046.1,120406
EU617045.1,120406
EU617044.1,120406
EU617043.1,120406
EU617042.1,120406
EU617041.1,120406
EU617040.1,120406
EU617039.1,120406
GU238430.1,702092
GU238429.1,487740
GU238428.1,702093
GU238427.1,487740
GU238426.1,487740
GU238425.1,702092
GU238424.1,702091
GU238423.1,702091
GQ422821.1,545218
FJ859719.1,59297
EU645480.1,73297
EU592010.1,385370
EU591995.1,47064
EF635435.1,450939
AY522377.2,262043
AY757430.1,140866
AY757429.1,312777
AY757428.1,312775
AY757427.1,312774
AY757426.1,240665
AY757425.1,312766
AY757424.1,312763
AY757423.1,312761
AY757422.1,312756
AY757421.1,240694
AY757420.1,312750
AY757419.1,203791
AY757418.1,240690
AY757417.1,312745
AY757416.1,312741
AY757415.1,234467
AY757414.1,312740
AY757413.1,140803
AY757412.1,69854
AY757411.1,312739
AY757410.1,312738
AY757409.1,240692
AY757408.1,100277
AY757407.1,312731
AY757406.1,140796
AY757405.1,240691
AY757404.1,240666
AY757403.1,140791
AY757402.1,69849
AY757401.1,312730
AF477670.1,71035
AF477669.1,71036
AF477668.1,199523
AF477667.1,199522
AF477666.1,199522
AF477665.1,59297
AF477663.1,199521
AF477662.1,199520
HQ396773.1,913978
HQ396772.1,913979
HQ396771.1,913977
AF422138.1,174443
HQ199326.1,20401
HQ161934.1,50225
HQ161933.1,170732
GQ246048.1,47076
GQ246047.1,47076
GQ246046.1,47076
AY722010.1,303144
FJ904613.1,644194
FJ904612.1,644194
FJ904611.1,140788
FJ904610.1,140788
FJ904609.1,644188
FJ904608.1,644188
FJ904607.1,644189
FJ904606.1,644189
FJ904605.1,644193
FJ904604.1,644193
HM143863.1,669632
FJ793097.1,4604
FJ793095.1,52152
FJ793094.1,52152
FJ793093.1,52152
FJ793092.1,52152
FJ793091.1,52152
FJ793090.1,52152
FJ793089.1,52152
FJ793088.1,52152
FJ793087.1,52152
FJ793086.1,52152
FJ793085.1,52152
FJ793084.1,52152
FJ793083.1,52152
FJ793082.1,52152
FJ793081.1,52152
FJ793080.1,52152
FJ793079.1,52152
FJ793078.1,52152
FJ793077.1,52152
FJ793076.1,52152
FJ793075.1,52152
FJ793074.1,52152
FJ793073.1,52152
AF121750.1,90204
AF121749.1,90196
AF121748.1,90157
AF121747.1,90206
AF121746.1,90205
AF121745.1,92397
AF121744.1,90377
AF121743.1,90193
AF121742.1,90314
AF121741.1,90207
AF121740.1,90180
AF121739.1,90158
AF121738.1,90192
AF121737.1,90182
AF121736.1,90177
AF121735.1,90216
AF121734.1,90164
AF121733.1,90221
AF121732.1,90220
AF121731.1,90217
AF121730.1,90165
AF121729.1,90168
AF121728.1,90224
