,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-14.6149528108826,-4.93532150209194,-2.29559315429151,-2.31930546318335,-7.05639720068666,-1.48185480663869,-5.18617887024948,-2.81331736823267,-4.32324309882915,3.71063023447368,2.1429418520288,-0.874396421108486,3.62515290299007,-11.3975500367455,-0.157928429192452,-6.8013424007072,-5.72544814254161,-5.79181861576126,-5.94672000865694,-6.03671003759246,-6.32318910738786,-0.726969625078254,-4.67677096952684,-6.29741657596878,4.24510403985641,-0.27209276984695,-11.4656736784909,-2.20097995408787,-4.31770114513347,-6.3284403008588,0.655968694174589,-4.15673530752701,-3.81272784504927,-3.35909548561222,-2.76205848251357,-5.27976207346001,0.32004137196509,-3.28255995634981,-12.648812644577,-9.32890250438095,-7.52801684949281,-6.8985048106565,-7.8959160244317,-14.3929952131962,-1.78566566965674,-6.15231902819414,-10.2796658577913,-5.99041715573867,3.91571186569854,5.59227923747449,5.41710390858225,11.4526456298595,-8.040952970131,-10.015511603955,-11.0190901505566,-7.45473112501895,-4.04459936432113,-5.13721620856086,-1.22787506297436,-5.16850464231948,8.04507261146091,-2.20420271906505,23.1623795709115,24.2094108419947,62.2857090275265,-5.90776981912995,-5.3765985067439,-1.26508182489897,-8.03374612542711,-6.48642307030559,-2.35445669458113,-6.45189776183952,6.10751247764301,6.06733084858342,19.7146597607029,20.0171049581859,-5.79413690606452,-2.42779225055347,-6.1175892678998,-4.80911211052535,-3.86694511934184,-8.96101653666892,-13.1027758444397,-10.1885821610449,2.20194605808547,0.367913476834929,8.42934179234135,6.11491610846224,-4.67360275610554,-4.47923996542249,-4.66175985812242,-8.36128983355775,-8.9914732702664,-3.69123748052698,-1.43984323465929,0.510905547791936
,2,-0.516191768102544,1.08920223539235,4.37786392532507,-1.43146969816326,-8.03246450348934,-2.52155691618646,-6.00737911378155,-5.50880552227181,-7.08742346925874,-1.72762114083116,0.35824821901906,-0.35395261890244,7.42634081575216,-5.83759705239436,-0.944341809230536,-6.56960797211286,-6.56158034852115,-3.76616703591435,-8.36080185772425,-6.47950373364893,-4.39730334065962,-4.49991730154761,-0.825909139203304,-6.15889690482118,5.08121981956492,5.40471812698661,-1.78099625038567,1.84527919613174,-3.47795834838143,-5.56580608800277,-6.22063280012162,-8.16349020970665,-4.18010496554916,2.86874537869016,1.01777747573897,-3.29747268654364,2.27551336205761,-3.24505103881756,-0.318860418844906,-5.24867167149205,-6.85304279960428,-4.47693823497184,-9.14621383760368,-3.38569248550084,-8.95058789981613,-5.40488431321546,-11.405176157396,-7.2901328820285,7.5553896484289,11.6126825809797,8.81675968720447,13.9232691158645,-6.68115909958851,-3.20120638996195,-6.77845651175085,-3.27639292006188,-6.17519797022351,-5.02762784377092,-1.20386215365579,-8.73132170493545,1.6241872050241,-2.00748262388151,28.8882868117339,15.0114681029872,28.537860137254,-9.85847162556047,-2.97997768632013,-7.81478360511665,-2.33309648255408,-2.85444303569784,-5.17817763073026,-3.39826491697522,4.54497734953611,2.12179722819701,18.5525922116044,13.6916655451569,-7.83026562118039,-2.55257941883883,-6.80379559642233,-0.59185466726467,-1.87186438288927,-8.30820084567631,-4.77015521918793,-5.03736992966697,15.6059961458795,0.619880904226193,20.7458820515717,15.7921972652762,-4.8021109685169,-4.39286980184033,-7.69460868836768,-5.28109244663074,-6.00389853303705,-10.2049517110727,-12.8407153151798,-4.97750622578815
,3,0.744018542162848,4.08290647088188,0.417961138753071,1.70284404023414,-3.49236651836191,-3.86105341064922,-5.32930969860809,-0.206497421901076,-6.59444225054403,-2.82029501650095,-1.96204907614083,-6.79238188944282,2.9556404096702,-2.03514841453898,4.13988981741022,1.66023573923167,-7.21396867339217,-7.70035762572434,-6.82127569542263,-7.74707329690227,-4.80707373981522,0.0910626076661174,-4.02551705612223,-7.05588869011535,4.29138835656659,1.84106306014019,2.81000413285619,4.71166755296326,-6.98119659168424,-2.50268225380114,-3.94497727865519,-4.29109487747519,-3.62824402750221,-2.54762379185649,-7.89605985417302,-6.94564345637536,1.51407046525037,2.54420566021508,0.19639400053029,-3.00487706835884,-4.99430431591463,-2.94738891743782,-5.06577924126714,-4.86281677462239,-5.28309304233653,-0.415149188981559,-3.77138018852202,-5.13611397494242,3.5419492044216,4.74165466318664,6.9783025494603,6.95496389669006,-1.66980486659941,-6.73072552056647,-0.462167999357007,-2.61520383339666,-4.03668482904777,-2.68453379125185,-1.16465129511471,-3.39230743815097,3.30611514288739,6.12057572505819,32.51390522874,10.1330995764715,7.17172276721294,-4.30270804751217,-3.44472444909206,-4.00369627470627,-3.06415588470009,-3.23950877523703,-2.22291945594861,-1.5245986260029,2.17089232310082,3.3372703620521,9.93501930134153,8.92790266484781,-6.78074331726339,-1.92769299290148,-6.59562074889527,-2.93808608252721,-3.17005605986378,-5.19752306754663,-2.3702977793223,-0.226144347257559,7.39927864896163,-0.216483928312755,21.1685600002206,21.9394768211182,-0.965072397180393,-5.84189528533034,-9.11080087222763,-5.11341811231159,-3.14682469059017,-2.9185912310013,-9.40373935964089,-2.32538967256323
,4,3.27071665381345,-1.11070716678159,1.49199716353314,1.50968095300595,-6.08838527531316,-1.70057156034136,-1.00902348505451,-3.35423542475655,-3.88901817330452,-3.23560399625603,-8.09774763824953,-11.8969724450744,-0.706377194551806,2.0226723610549,-3.80747305735304,2.09842640942543,-2.64733385642785,-3.93365757528636,-3.5807156098158,-4.7558039395376,-4.98796467446846,-2.67535023080927,1.56634681828109,-4.47985996079888,3.03481418746924,0.449755591486792,-1.45564428965281,1.26870658298549,-2.03675877489195,-1.29919189187922,-7.03185089304134,-5.2567127809366,-2.41254931680669,-2.74484302111205,-3.60844305562205,0.0344231214630781,2.01958135004043,-4.01399511731688,-2.24976546512971,0.493337867318132,-5.19072777800602,-0.964143795437394,-2.14622204503894,-3.86499416798551,-2.61962979619511,-1.06366324866758,-2.66986007548076,-2.12255318407233,4.76040649823108,2.39398228504979,3.04614807441658,7.583063396547,-7.03643049959464,-4.60720587885771,-2.93627214926482,-4.94205820227353,-2.78514439216087,-3.91807966098531,-5.80564486441062,-3.17855765442118,3.35285988246869,0.941530644060549,38.8123419848871,6.03656172710271,1.99838456527277,-2.52112590163779,-2.87813138604179,-7.01427871492842,-3.82747304302848,-4.73239578983612,1.89327324767464,-1.07642396964411,4.51547100460766,1.0806282934459,3.94980727210759,5.62925433200098,-3.49168567351035,-2.78023803574433,-1.87794994912292,-0.406453860696274,-2.57217104226447,-2.61905326395436,-5.97664400790654,-4.41477532457975,5.3705767566903,3.20731380677489,28.8328566577334,33.0561795075837,-2.83321455474788,-5.40673479733141,1.3089414254132,-2.72097046825365,-0.375121347789445,1.4993791073789,-2.77000908038826,-7.20115395771199
,5,2.42931822304854,6.03094674511431,2.49540785571162,4.71002333371371,-3.38631768954838,1.84309698009838,-6.24018561858338,-2.85736819279873,1.65887436294952,3.3529860516278,1.25256591219431,1.49077517278238,5.19656028105692,0.533444405474256,1.8546041543309,2.92327700529859,-0.187353861335396,-2.39149300725921,-0.0326171900519512,-1.96726216979641,-2.03591503981761,-2.98165236851492,-2.85349283347205,0.452737526960846,4.02894562465281,3.30619950710297,4.64623061568091,1.92994776775049,-0.959149652876476,-3.67221120267368,-3.28527556642848,-2.36922473656614,-2.43730515864172,-4.68173142698151,-1.33693254049831,-4.40108339801873,2.28203826875188,2.27417912259261,6.65517249869026,0.714210616628861,-5.19705909943059,-5.81448201866078,-1.36059868110851,-0.642392824436683,0.471494838374838,-4.93668743404487,-3.00550351809534,-3.70939630237308,1.96843540130612,4.66076138374638,5.2918181863588,3.08326872845964,-2.90401717765144,-3.26647205163044,0.976082065200899,-1.70858940599373,-4.12707540502333,-0.840739780982403,-4.45337614408527,-1.68491478371516,0.754087423961209,2.67532784662535,47.8083480813443,4.44109252922362,1.82312017332333,-2.42635201260327,-2.26538600816548,-0.827504196020982,-6.38340835048029,-1.04746895881362,-4.7109476013934,-4.45448964697243,0.539905364646074,4.1999181032902,4.27272169909884,1.47038513162261,-1.70693895348904,-0.973838571820124,-3.2451883587396,-2.59384415013255,0.462243166542521,-4.87971677150381,1.59602680659145,-4.14662418118223,3.19100964640802,1.26862608931106,32.4585259768687,33.9651349655824,-1.109484878486,-1.0395713917892,-3.48196080942444,0.256750948638,-0.917611527801,-2.07242047749287,-3.56184019972625,-4.64087609583294
,6,4.59180004022619,1.30165610428367,4.78199814893605,3.49609785508483,1.11239555094789,0.449098075147049,-1.52179237784003,-3.5056461157551,-5.33447239132693,0.328101702494223,1.04295710760971,1.53682712416457,0.566791769731481,7.29939120704239,6.17461172857111,0.436669196667026,2.20403926948347,3.99129826639137,-3.45871956830024,0.451544522683434,-2.13303140982089,-3.44718542780629,-4.25566271028174,-0.591538703633887,4.10242749116242,4.6761152067711,2.51225167869507,3.59793489333379,0.458102304499334,-2.8709181209997,-3.24418081867452,-0.574007290796544,1.8018838395742,0.232729589160044,-1.77212673690519,-4.12634121015799,0.309736358478858,2.7834505118758,2.47973510002021,3.91416013625849,4.40420596608692,0.833398567185668,-2.10010677243372,-1.71502785053008,-0.746743378387691,0.156186412281386,-0.626024938232149,-0.704848348545966,0.564551674012364,2.05480972180749,-0.145430472461157,-0.907323342365089,-2.21496463815083,-0.0893337052239076,-1.47995614151796,-1.4828945451768,-2.28083743757225,-3.1480893636267,-3.78705399181672,0.277981032253592,3.96907511496966,5.9431152690122,60.3340314543802,-0.372727259870317,-3.68605076982203,0.159400601736252,-5.93568671603089,-0.498470070096573,-2.33717271636078,-6.38429370790163,0.382093618305134,2.60231497494078,4.6616069484603,1.33076224348997,2.02059229229189,-2.12651310275896,-0.935553824852832,-4.56649228131437,-0.479287176695834,-1.33140648873859,-5.61841964110181,-6.02627830962729,0.972735479499988,1.03033556029732,3.6208227775669,2.7665493031659,40.7824280943255,41.2909678689784,-1.22660461520127,-0.967403439556165,-0.397345988609686,-1.19352713634999,1.01775067381459,-2.54785319075381,-4.61766136474171,1.7117819299342
,7,4.16787696463416,3.42535180973618,2.51357302490624,0.667770452712375,-1.66429689025108,0.367181373497715,1.79292138733217,-1.13438098079723,0.801529229248899,-2.6568306449044,-5.79697871651933,1.87131303928754,0.649410584933321,0.372520243443887,6.64704664797455,5.10561106452724,-1.49627342512758,5.21443468190364,-0.0308611611981178,-2.93316425629246,-1.52173057833852,1.8247787375899,1.16835668485874,-3.05362377626625,5.58105049184269,2.59359329314748,1.37585473623631,4.41401866486058,-3.63972724583937,0.949674408821465,2.45645602843115,0.118875960777586,-2.29574059729975,0.0523359450990029,-0.710582526872713,3.92150141271122,3.33947378730682,1.4546862116099,2.33677016909132,3.75229487579827,0.102661647565583,4.88196294262889,-0.333357584225269,-1.33087647191724,-4.32872716118072,-0.344950813509513,0.47937456192949,1.43366688475771,4.72763833473437,-1.5102335915235,0.272238000943162,0.039323727975443,4.21255956510367,-0.444536975579013,-2.40149642796268,0.0146869074405913,-1.37931814528019,1.22799500240808,2.23649053936197,-1.06807461250037,3.46803942514543,0.0728567337214372,72.058482304828,3.7656246567426,-1.89521144483797,2.07644440655849,-0.350277948914027,-0.94484583149324,3.36219879440341,-1.16502004750737,0.0648055299584485,-1.17250145873595,-2.07486598788364,0.272601389138799,2.21016357685039,2.69330610141878,0.334744105929531,-0.596524394205062,5.23916437742673,-2.90604817002077,1.89044477535163,6.06223516583714,0.140183362835614,-2.48591922195692,-0.215945544788156,5.31516144068246,49.8028105347007,54.8405430913417,2.39739083488348,0.535484672348503,0.90112202295677,-0.976539978226356,4.41111732896934,-0.0436948478350132,0.655011988879323,-4.54041659150425
,8,2.33726051008534,2.53987042608833,3.99607335077826,4.28259748206074,2.92358204894299,0.493110365691791,5.37928860590819,1.85180359091555,-0.745411843163765,0.487299878246176,5.05771396947694,-1.52575303926142,7.80716539996092,6.34741468781567,4.46579019862384,0.831308691087088,2.06088891720765,-0.496937660574986,-0.649757815273915,1.72811658776664,0.440224638864493,4.38884951544105,3.45279764214365,0.599217377357945,0.453152581029826,6.37641355133064,2.62667293865525,1.98315492254687,-1.29428286080201,-0.496510689357365,1.15579629515332,5.91568060895861,5.7225905953228,1.83914530750781,2.46186773244563,1.31754956478699,1.49638691923383,5.57131164698285,0.128467739535608,3.40426336926021,0.261954095402416,-1.81259140251905,3.70417127498604,6.07539695160085,0.265644147951662,-3.18539632618968,1.25402981196703,5.39444414261789,2.2974046285949,4.47902472770375,5.46564278747564,2.74218046025499,-0.207814021116519,3.96434635514606,-2.82578646833235,-2.10015949166564,5.11234295826807,3.38215696372117,0.353721404468615,2.75701838784425,-1.47302989172658,-5.99670699013586,94.1397168121034,12.4584257765027,1.6512423105728,2.93919822108955,2.98742788489335,1.4690813340153,-3.68911696596751,5.82366218205198,3.13134032860717,4.59421876761462,4.13179615956733,-2.1015826527223,11.4292313998558,11.4088512500734,-0.444893600624255,-0.475778194793747,-2.2781443276458,-2.84064759194189,-2.7216800690012,3.20583380933977,5.42347645830705,-0.305059166773844,-1.59973874202751,4.00060043723306,70.0060314884245,70.3040742352832,0.321013733843301,-1.65419051834988,-3.73830316823023,-2.24597540925924,2.4714627707649,0.109219036684863,2.32646836979711,-3.03477004994875
,9,-0.175299390926739,3.78321803078416,4.87632941446691,-2.32890429797089,1.41987368093987,-0.456157638339391,0.971224994780187,4.95720245205075,4.0891048012063,3.38204576505359,4.9644424565563,5.28012271932494,0.444941140277024,5.22244548018898,-0.248860111199519,0.0234898949097442,0.656279920135603,-1.24395418434324,0.688333937996049,3.08175654852766,4.55576123041874,0.259099587824039,2.03543324110433,-0.602758720337988,-0.315930524985106,4.04184769597941,3.66818082612826,2.39075986142598,2.78697319794128,1.20945362584052,-0.615420830894891,1.85467019582984,-0.608551950660058,-0.0488042426327411,5.40006558543155,6.10821820465617,1.36180077222525,7.18277697873373,3.94840502383022,2.78206767205347,3.08762006611414,0.239011138349724,0.652245200929428,1.29859276408069,5.51904964611686,0.593109816046308,0.376361083187476,-1.29115761877711,0.695814538087234,-0.228951531494658,7.0384994692181,11.1968675210405,4.40543797775626,3.10891484994499,0.440215677712786,-0.459189583382795,-0.146157628967103,1.34901065042459,2.43652619359682,-1.47785858018915,4.10337216333346,0.196192019280261,124.781493987943,37.0778070696238,3.08636490469689,-0.160995067450131,0.576022987787383,1.48133757998357,2.82309034352056,0.747904865684632,5.76724531921172,2.24906261993556,-0.0196594453532271,4.08602660972019,27.1623324590073,28.055234809297,2.08427018938664,3.30942991462189,0.211153011801798,-1.69840639885797,2.61846523032318,2.99098276713221,-4.48266426001328,-0.395039550261117,4.80303941105876,1.32243673705989,85.5498603018968,99.9480053367788,-5.15339727064793,2.82673119145147,0.698017184159198,0.0571988524666267,-4.73251146379425,4.76533162513397,3.43575638407629,2.37137617448707
,10,2.17477921873888,2.34003118776218,-1.77326457931758,1.84459520162181,1.54980540926135,0.201335272018696,4.24996011391568,3.61737412641241,3.58562170539108,-3.4714073337168,3.81286975323428,-3.23008996817453,3.3158247940687,4.87713947472503,1.14680847173349,3.8434637125647,5.32247931775237,1.65155717544667,3.48937610796111,3.15344172158257,6.91716351991863,2.94759176665093,2.63283881281495,1.77057334079655,-1.55040305705961,0.598479639323159,4.19064983759336,3.2229836751103,5.44134864081661,2.02758569384059,4.61534348201303,3.08913746152211,0.209217758875184,5.97217324462144,0.21505673686579,0.333955101841184,6.49581381623148,4.18958677332466,4.5298472950094,1.95486050088357,3.00489201235723,5.78725782489119,1.76634486584726,0.78164375437882,6.01096484483969,0.712706986154444,-3.76583048535349,2.24204658515282,2.09287317252847,3.39150816996698,27.9949062287983,23.373423779914,0.320047851711934,0.119358942632971,3.40919010936614,3.44651073143132,2.45266573175923,0.0702405534952959,4.57870315741047,3.64007990610708,-1.43464193825275,4.47880101047167,184.944568473754,91.363282987496,-2.89065277072405,2.45549324634658,1.26901189043019,3.44280527927094,4.49632170683299,2.82096979283006,-2.73824935203129,2.96861527748115,2.01895635570236,2.98007664240913,70.2098172359006,61.6714741344108,4.88231383269749,1.09882175051462,0.0525801186627177,2.44377785760389,1.55791556893291,2.92487027190737,4.87651903420374,6.47797152227076,-1.45858606611182,3.08676318066728,123.628993934779,134.206656195336,2.2289825595094,7.24808656715459,3.58870883449163,1.6442500694634,-1.00687245588506,0.210914402427079,0.597957994716126,2.50442906184117
