File Name,admin_2015-03-19 20-49-05_BR003082_prairie16s.pcrd
Created By User,admin
Notes,
ID,
Run Started,03/20/2015 01:49:23 UTC
Run Ended,03/20/2015 04:27:17 UTC
Sample Vol,25
Lid Temp,105
Protocol File Name,prairie 16s.prcl
Plate Setup File Name,Prairie-16s-3.19.15.pltd
Base Serial Number,BR003082
Optical Head Serial Number,788BR03153
CFX Manager Version,3.1.1517.0823. 
