Plate,Cell id,Type,Number,Notes,row,column
2,F2,Mixed roots,70,,F,2
2,F3,Mixed roots,98,,F,3
2,F4,Mixed roots,99,,F,4
2,F5,Mixed roots,97,,F,5
2,F6,Mixed roots,93,,F,6
2,F7,Mixed roots,90,,F,7
2,F8,Mixed roots,94,,F,8
2,F9,Mixed roots,91,,F,9
2,F10,Mixed roots,92,,F,10
2,F11,Mixed roots,96,,F,11
2,F12,Mixed roots,95,,F,12
2,G1,Mixed roots,125,,G,1
2,G2,Mixed roots,123,,G,2
2,G3,Mixed roots,117,,G,3
2,G4,Mixed roots,122,,G,4
2,G5,Mixed roots,108,,G,5
2,G6,Mixed roots,127,,G,6
2,G7,Mixed roots,121,,G,7
2,G8,Mixed roots,100,,G,8
2,G9,Mixed roots,124,"few mg spilled, sample already small",G,9
2,G10,Mixed roots,109,,G,10
2,G11,Mixed roots,126,,G,11
2,G12,Mixed roots,105,,G,12
2,H1,Mixed roots,118,,H,1
2,H2,Mixed roots,120,,H,2
2,H3,Mixed roots,103,,H,3
2,H4,Mixed roots,116,,H,4
2,H5,Mixed roots,106,,H,5
2,H6,Mixed roots,104,,H,6
2,H7,Mixed roots,119,,H,7
2,H8,Mixed roots,102,,H,8
2,H9,Mixed roots,107,,H,9
2,H10,Mixed roots,101,,H,10
2,H11,Mixed roots,153,,H,11
2,H12,Voucher (Silphium perfoliatum) 158mg,71,,H,12
